slice,source report,model,learner family,utility,delta vs best fixed,95% CI,positive split share,oracle gap closed,notes / failure mode,n reps,regret,cost,choice share
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,oracle,evaluator-only oracle,0.952399,0.051282,"[0.049021, 0.053514]",1.000,1.000,"evaluator-held upper bound; measures structured view-mixing headroom, not a legal solver",20,0.000000,0.154615,summary:0.386; one_hop:0.432; two_hop:0.106; full_context:0.035; ce:0.041
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,extra_trees_multioutput,tree ensemble,0.925690,0.024574,"[0.022630, 0.026717]",1.000,0.477,strongest released legal learner-family row; positive on every repeated split,20,0.026708,0.148846,summary:0.362; one_hop:0.316; two_hop:0.301; full_context:0.001; ce:0.021
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,extra_trees_expanded,tree ensemble,0.925221,0.024105,"[0.022436, 0.025798]",1.000,0.469,ok x20,20,0.027177,0.149066,summary:0.348; one_hop:0.356; two_hop:0.272; full_context:0.002; ce:0.021
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,dev_best_single_model,dev-selected learner,0.924956,0.023839,"[0.022309, 0.025430]",1.000,0.464,ok x20,20,0.027443,0.149236,summary:0.353; one_hop:0.336; two_hop:0.289; full_context:0.002; ce:0.021
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,rf_multioutput,tree ensemble,0.924464,0.023347,"[0.021496, 0.025444]",1.000,0.453,tree multi-output row; positive on every repeated split,20,0.027935,0.154181,summary:0.342; one_hop:0.310; two_hop:0.326; full_context:0.001; ce:0.020
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,rf_expanded,tree ensemble,0.923884,0.022767,"[0.021286, 0.024143]",1.000,0.443,ok x20,20,0.028515,0.147571,summary:0.323; one_hop:0.408; two_hop:0.251; full_context:0.001; ce:0.018
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,hist_gbdt_expanded,boosted tree,0.920791,0.019675,"[0.017869, 0.021545]",1.000,0.383,boosted-tree expanded-feature row; positive on every repeated split in the hyperlink audit,20,0.031608,0.172379,summary:0.304; one_hop:0.184; two_hop:0.494; full_context:0.006; ce:0.012
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,ridge_multioutput,linear multi-output,0.916598,0.015482,"[0.013643, 0.017289]",1.000,0.298,simple linear multi-output readout; positive on every repeated split,20,0.035800,0.183261,summary:0.162; one_hop:0.367; two_hop:0.468; full_context:0.000; ce:0.003
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,elasticnet_multioutput,linear multi-output,0.916498,0.015382,"[0.013498, 0.017302]",1.000,0.296,regularized linear multi-output readout; positive on every repeated split,20,0.035900,0.184592,summary:0.155; one_hop:0.367; two_hop:0.476; ce:0.002
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,knn_expanded,nonparametric,0.916372,0.015256,"[0.013542, 0.017151]",1.000,0.296,ok x20,20,0.036026,0.161261,summary:0.253; one_hop:0.381; two_hop:0.358; full_context:0.000; ce:0.008
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,mlp_expanded,neural,0.913227,0.012110,"[0.010017, 0.014237]",1.000,0.234,neural regressor remains positive in this structured regime,20,0.039172,0.200421,summary:0.189; one_hop:0.378; two_hop:0.389; full_context:0.008; ce:0.036
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,mlp_multioutput,neural,0.913105,0.011989,"[0.010366, 0.013746]",1.000,0.232,neural multi-output regressor remains positive in this structured regime,20,0.039293,0.198356,summary:0.184; one_hop:0.372; two_hop:0.404; full_context:0.012; ce:0.029
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,gbdt_expanded,boosted tree,0.911893,0.010777,"[0.009248, 0.012278]",1.000,0.209,ok x20,20,0.040505,0.208044,summary:0.050; one_hop:0.401; two_hop:0.546; full_context:0.001; ce:0.002
