slice,source report,model,learner family,utility,delta vs best fixed,95% CI,positive split share,oracle gap closed,notes / failure mode,n reps,regret,cost,choice share
dense_semantic,dense_legal_learner_sweep,oracle,evaluator-only oracle,0.424073,0.075445,"[0.073167, 0.078053]",1.000,1.000,"evaluator-held upper bound; measures view-mixing headroom, not a legal solver",20,0.000000,0.252684,summary:0.330; pq:0.357; full:0.313
dense_semantic,dense_legal_learner_sweep,rf_expanded,tree ensemble,0.355226,0.006598,"[0.004658, 0.008481]",0.950,0.087,small stable positive signal from legal compact features,20,0.068847,0.420597,summary:0.032; pq:0.370; full:0.598
dense_semantic,dense_legal_learner_sweep,extra_trees_multioutput,tree ensemble,0.354878,0.006250,"[0.004859, 0.007550]",0.950,0.083,small stable positive signal from legal compact features,20,0.069195,0.434367,summary:0.012; pq:0.366; full:0.623
dense_semantic,dense_legal_learner_sweep,dev_best_single_model,dev-selected ensemble,0.354786,0.006158,"[0.004745, 0.007620]",1.000,0.082,dev-selected learner; diagnostic only,20,0.069287,0.439321,summary:0.017; pq:0.345; full:0.639
dense_semantic,dense_legal_learner_sweep,rf_multioutput,tree ensemble,0.354761,0.006133,"[0.004824, 0.007485]",1.000,0.081,ok,20,0.069312,0.441082,summary:0.008; pq:0.353; full:0.639
dense_semantic,dense_legal_learner_sweep,dev_top3_ensemble,dev-selected ensemble,0.354668,0.006040,"[0.004437, 0.007568]",0.900,0.080,dev-selected learner ensemble; diagnostic only,20,0.069405,0.446487,summary:0.012; pq:0.334; full:0.655
dense_semantic,dense_legal_learner_sweep,extra_trees_expanded,tree ensemble,0.354239,0.005611,"[0.004234, 0.006949]",0.950,0.074,ok,20,0.069834,0.425082,summary:0.022; pq:0.375; full:0.604
dense_semantic,dense_legal_learner_sweep,dev_top5_ensemble,dev-selected ensemble,0.354101,0.005473,"[0.003813, 0.007027]",0.950,0.073,dev-selected learner ensemble; diagnostic only,20,0.069972,0.450897,summary:0.012; pq:0.322; full:0.666
dense_semantic,dense_legal_learner_sweep,knn_expanded,nonparametric,0.353455,0.004828,"[0.003047, 0.006693]",0.850,0.064,ok,20,0.070617,0.462792,summary:0.036; pq:0.254; full:0.710
dense_semantic,dense_legal_learner_sweep,gbdt_expanded,boosted tree,0.351868,0.003240,"[0.002021, 0.004405]",0.750,0.043,ok,20,0.072205,0.492250,summary:0.003; pq:0.227; full:0.771
dense_semantic,dense_legal_learner_sweep,lightgbm_expanded,boosted tree,0.351553,0.002925,"[0.001725, 0.004157]",0.900,0.039,ok,20,0.072520,0.489628,summary:0.008; pq:0.226; full:0.766
dense_semantic,dense_legal_learner_sweep,hist_gbdt_expanded,boosted tree,0.351379,0.002752,"[0.001512, 0.003910]",0.850,0.036,ok,20,0.072694,0.468332,summary:0.021; pq:0.263; full:0.717
dense_semantic,dense_legal_learner_sweep,kernel_ridge_rbf_expanded,kernel regression,0.351141,0.002513,"[0.001181, 0.003793]",0.700,0.033,ok,20,0.072932,0.429075,summary:0.030; pq:0.351; full:0.619
dense_semantic,dense_legal_learner_sweep,xgb_expanded,boosted tree,0.350853,0.002225,"[0.001557, 0.002907]",0.950,0.029,ok,20,0.073220,0.523145,summary:0.000; pq:0.149; full:0.851
dense_semantic,dense_legal_learner_sweep,catboost_expanded,boosted tree,0.349097,0.000469,"[-0.000074, 0.001113]",0.550,0.006,near fixed-full baseline; no strong rescue,20,0.074976,0.553241,summary:0.000; pq:0.070; full:0.930
dense_semantic,dense_legal_learner_sweep,fixed_full,fixed reference,0.348628,0.000000,"[0.000000, 0.000000]",0.000,0.000,strongest fixed dense reference under lambda=.08,20,0.075445,0.580000,summary:0.000; pq:0.000; full:1.000
dense_semantic,dense_legal_learner_sweep,ridge_expanded,linear,0.348628,0.000000,"[0.000000, 0.000000]",0.000,0.000,ok,20,0.075445,0.580000,summary:0.000; pq:0.000; full:1.000
dense_semantic,dense_legal_learner_sweep,elasticnet_expanded,linear,0.348628,0.000000,"[0.000000, 0.000000]",0.000,0.000,ok,20,0.075445,0.580000,summary:0.000; pq:0.000; full:1.000
