policy,folds,n_test_mean,top1_access_acc_mean,top1_access_acc_sd,utility_mean,utility_sd,regret_mean,regret_sd,utility_ci95_low,utility_ci95_high,regret_ci95_low,regret_ci95_high
oracle_best_access,,2398.0,1.0,0.0,0.5935404503753128,,0.0,0.0,,,,
proxy_utility_rf_regressor,5,479.6,0.41659620737647884,0.023462166017935198,0.37118267223382045,0.03925799437115747,0.22233387265135698,0.02607513659742559,0.32244524856381784,0.41992009590382307,0.18996250473105403,0.25470524057165994
proxy_utility_gbdt_regressor,5,479.6,0.334857341684064,0.02102399469871269,0.34700879436325677,0.030842793964493933,0.2465077505219207,0.016626232895305154,0.30871854697052376,0.3852990417559898,0.22586686527970473,0.26714863576413667
fixed_cross_asset_path,5,479.6,0.11593075852470425,0.0137380970659392,0.26564231036882396,0.03779299772205001,0.3278742345163535,0.01990551036131283,0.2187236286775288,0.3125609920601191,0.3031622412679239,0.3525862277647831
existing_rule_based_escalation,,2398.0,,,0.2411175979983319,,0.3524228523769808,,,,,
fixed_coarse_path,5,479.6,0.3340396659707724,0.03986276002535423,0.20548225469728595,0.037084907837923106,0.38803429018789143,0.03742528228375879,0.15944264177228748,0.25152186762228446,0.3415721143215389,0.43449646605424397
proxy_tree_depth3,5,479.6,0.5687995824634655,0.032046561461204416,0.16650250521920668,0.03245419941658754,0.42701403966597073,0.05159359346009214,0.12621175445178934,0.206793255986624,0.3629624021994934,0.4910656771324481
fixed_microstructure_proxy,5,479.6,0.005421885873347251,0.0034889500972835265,0.16564648573416849,0.02500940132745628,0.42787005915100906,0.03196745887569243,0.13459819078803456,0.1966947806803024,0.38818357970052886,0.46755653860148927
proxy_gbdt_small,5,479.6,0.5988221990257481,0.043084466233732015,0.13254713813500346,0.055766868746217745,0.46096940675017406,0.05349893002205663,0.06331452571120921,0.2017797505587977,0.39455236074100675,0.5273864527593414
proxy_rf_small,5,479.6,0.6134151009046624,0.04891465297054605,0.12088428148921364,0.052985944689703246,0.47263226339596376,0.051363721118119855,0.055104088785465646,0.18666447419296162,0.4088660043829754,0.5363985224089521
proxy_logistic_l2,5,479.6,0.5379523312456506,0.04814635153399536,0.04500782011134307,0.06038137917101584,0.5485087247738343,0.052199360990178946,-0.029953545225214866,0.119969185447901,0.48370504815629267,0.6133124013913759
fixed_summary_only,5,479.6,0.544607689631176,0.04650445847649669,-0.04021711899791234,0.07636214528920149,0.6337336638830897,0.06538898088483876,-0.13501804520224248,0.054583807206417805,0.5525555365797888,0.7149117911863906
