budget,family,seed,phase_name,hole_proxy,topology_hole_rich,bbox_aspect_ratio,geometry_elongated,access_value_gain,route_escalate,blind_norm_cd,point_norm_cd,structural_fidelity_raw_gain,structural_fidelity_cost_adjusted_gain
budget_06_thin_strip,barbell-bridge,0,decision-fragile zone,40.0,1,4.195334447827693,1,-1.0464,0,0.2280463027751049,0.3056276849726439,-0.07758138219753902,-0.12398138219753901
budget_06_thin_strip,barbell-bridge,1,decision-fragile zone,40.0,1,4.195334447827693,1,-1.0464,0,0.2388953172422876,0.29813695790763,-0.059241640665342404,-0.1056416406653424
budget_06_thin_strip,barbell-bridge,2,decision-fragile zone,40.0,1,4.195334447827693,1,-1.0464,0,0.1482933053327114,0.2862454063370988,-0.13795210100438737,-0.18435210100438737
budget_06_thin_strip,barbell-bridge,3,decision-fragile zone,40.0,1,4.195334447827693,1,-1.0464,0,0.2266328647967507,0.3297725988693691,-0.1031397340726184,-0.1495397340726184
budget_06_thin_strip,crescent,0,ambiguity zone,12.0,0,1.926420323251142,1,0.9536,1,0.1288367168648707,0.2523081134448879,-0.12347139658001721,-0.1698713965800172
budget_06_thin_strip,crescent,1,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.2289141068331994,0.2887488715709799,-0.05983476473778049,-0.10623476473778048
budget_06_thin_strip,crescent,2,ambiguity zone,12.0,0,1.926420323251142,1,0.9536,1,0.1015170669798954,0.2599871054370328,-0.1584700384571374,-0.2048700384571374
budget_06_thin_strip,crescent,3,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.2771348742099191,0.3326114037543653,-0.05547652954444621,-0.1018765295444462
budget_06_thin_strip,cross-branch,0,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.0821805317869398,0.2447241262936255,-0.1625435945066857,-0.2089435945066857
budget_06_thin_strip,cross-branch,1,optimization-limited zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.2439733525932634,0.3620371094183252,-0.11806375682506179,-0.16446375682506179
budget_06_thin_strip,cross-branch,2,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.1460425780420451,0.2375704433739747,-0.09152786533192961,-0.1379278653319296
budget_06_thin_strip,cross-branch,3,optimization-limited zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.3363122690973877,0.4468556998406281,-0.11054343074324041,-0.1569434307432404
budget_06_thin_strip,double-loop,0,optimization-limited zone,3.0,0,1.9632453591236552,1,0.9536,1,0.2666724460047315,0.2842591067760598,-0.01758666077132831,-0.06398666077132831
budget_06_thin_strip,double-loop,1,ambiguity zone,3.0,0,1.9632453591236552,1,0.9536,1,0.070492658930779,0.2037162276031461,-0.1332235686723671,-0.1796235686723671
budget_06_thin_strip,double-loop,2,optimization-limited zone,3.0,0,1.9632453591236552,1,0.9536,1,0.2641494155927574,0.278761512914824,-0.014612097322066586,-0.06101209732206658
budget_06_thin_strip,double-loop,3,ambiguity zone,3.0,0,1.9632453591236552,1,0.9536,1,0.1066634352101221,0.1931081320311961,-0.08644469682107399,-0.13284469682107397
budget_06_thin_strip,mean-reversion,0,effective-collapse zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.1167390791749592,0.3002321110049916,-0.1834930318300324,-0.2298930318300324
