representation,query_key,neighbor_key,neighbor_rank,summary_distance,topology_disagree,geometry_disagree,routing_disagree,continuous_gain_gap,original_action_disagree,original_view_disagree,family_disagree
Base summary,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|barbell-bridge|3,1,3.822092936166461e-08,0,0,0,0.025558351875079377,0.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|barbell-bridge|1,2,7.56979790525003e-08,0,0,0,0.018339741532196613,1.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|barbell-bridge|2,3,8.747398515793982e-08,0,0,0,0.060370718806848356,0.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|mean-reversion|2,4,3.9502519276787013e-07,1,0,0,0.0933019979307986,0.0,0.0,1.0
Base summary,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|mean-reversion|0,5,3.9661710978175673e-07,1,0,0,0.10591164963249339,0.0,0.0,1.0
Base summary,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|barbell-bridge|2,1,1.322804775775815e-08,0,0,0,0.07871046033904497,1.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|barbell-bridge|3,2,4.138179497318262e-08,0,0,0,0.04389809340727599,1.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|barbell-bridge|0,3,7.56979790525003e-08,0,0,0,0.018339741532196613,1.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|mean-reversion|2,4,3.209251837983361e-07,1,0,0,0.11164173946299522,1.0,0.0,1.0
Base summary,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|mean-reversion|0,5,3.224364007835239e-07,1,0,0,0.12425139116469,1.0,0.0,1.0
Base summary,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|barbell-bridge|1,1,1.322804775775815e-08,0,0,0,0.07871046033904497,1.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|barbell-bridge|3,2,5.3328747881211874e-08,0,0,0,0.03481236693176898,0.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|barbell-bridge|0,3,8.747398515793982e-08,0,0,0,0.060370718806848356,0.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|mean-reversion|2,4,3.0897163270437363e-07,1,0,0,0.03293127912395025,0.0,0.0,1.0
Base summary,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|mean-reversion|0,5,3.105356763121899e-07,1,0,0,0.04554093082564503,0.0,0.0,1.0
Base summary,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|barbell-bridge|0,1,3.822092936166461e-08,0,0,0,0.025558351875079377,0.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|barbell-bridge|1,2,4.138179497318262e-08,0,0,0,0.04389809340727599,1.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|barbell-bridge|2,3,5.3328747881211874e-08,0,0,0,0.03481236693176898,0.0,0.0,0.0
Base summary,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|mean-reversion|2,4,3.580582677142294e-07,1,0,0,0.06774364605571923,0.0,0.0,1.0
Base summary,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|mean-reversion|0,5,3.59590007553215e-07,1,0,0,0.08035329775741401,0.0,0.0,1.0
Base summary,budget_06_thin_strip|crescent|0,budget_06_thin_strip|crescent|1,1,6.56295645568309e-09,0,0,0,0.06363663184223672,0.0,0.0,0.0
Base summary,budget_06_thin_strip|crescent|0,budget_06_thin_strip|crescent|3,2,1.0433546576639032e-08,0,0,0,0.067994867035571,0.0,0.0,0.0
