suite,budget,family,seed,budget_difficulty,family_surface,family_connectivity,ambiguity_stratum,corruption_type
challenge,budget_23_small_high_cond,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_23_small_high_cond,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_23_small_high_cond,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_23_small_high_cond,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_23_small_high_cond,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_23_small_high_cond,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_23_small_high_cond,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_23_small_high_cond,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,spiral,2,hard,smooth,connected,high,none
challenge,budget_23_small_high_cond,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_23_small_high_cond,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_23_small_high_cond,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_23_small_high_cond,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
