representation,query_index,neighbor_rank,distance,query_budget,query_family,query_seed,neighbor_budget,neighbor_family,neighbor_seed,action_disagree,view_disagree,family_disagree,phase_disagree
Base summary,0,1,3.822092936166461e-08,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,barbell-bridge,3,0.0,0.0,0.0,0.0
Base summary,0,2,7.56979790525003e-08,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,barbell-bridge,1,1.0,0.0,0.0,0.0
Base summary,0,3,8.747398515793982e-08,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,barbell-bridge,2,0.0,0.0,0.0,0.0
Base summary,0,4,3.9502519276787013e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,mean-reversion,2,0.0,0.0,1.0,0.0
Base summary,0,5,3.9661710978175673e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,mean-reversion,0,0.0,0.0,1.0,0.0
Base summary,0,6,3.987037074173316e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,mean-reversion,3,1.0,0.0,1.0,0.0
Base summary,0,7,4.0053206836775136e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,mean-reversion,1,1.0,0.0,1.0,0.0
Base summary,0,8,4.277357368458647e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,volatility-clustering,1,1.0,1.0,1.0,1.0
Base summary,0,9,4.3456287653466646e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,volatility-clustering,0,1.0,0.0,1.0,1.0
Base summary,0,10,4.3611331806256585e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,volatility-clustering,3,1.0,0.0,1.0,1.0
Base summary,1,1,1.322804775775815e-08,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,barbell-bridge,2,1.0,0.0,0.0,0.0
Base summary,1,2,4.138179497318262e-08,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,barbell-bridge,3,1.0,0.0,0.0,0.0
Base summary,1,3,7.56979790525003e-08,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,barbell-bridge,0,1.0,0.0,0.0,0.0
Base summary,1,4,3.209251837983361e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,mean-reversion,2,1.0,0.0,1.0,0.0
Base summary,1,5,3.224364007835239e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,mean-reversion,0,1.0,0.0,1.0,0.0
Base summary,1,6,3.245433675309725e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,mean-reversion,3,0.0,0.0,1.0,0.0
Base summary,1,7,3.2645092161603946e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,mean-reversion,1,0.0,0.0,1.0,0.0
Base summary,1,8,3.5425918715330064e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,volatility-clustering,1,1.0,1.0,1.0,1.0
Base summary,1,9,3.610770920529688e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,volatility-clustering,0,0.0,0.0,1.0,1.0
Base summary,1,10,3.622151195789424e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,volatility-clustering,3,0.0,0.0,1.0,1.0
Base summary,2,1,1.322804775775815e-08,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,barbell-bridge,1,1.0,0.0,0.0,0.0
Base summary,2,2,5.3328747881211874e-08,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,barbell-bridge,3,0.0,0.0,0.0,0.0
Base summary,2,3,8.747398515793982e-08,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,barbell-bridge,0,0.0,0.0,0.0,0.0
Base summary,2,4,3.0897163270437363e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,mean-reversion,2,0.0,0.0,1.0,0.0
Base summary,2,5,3.105356763121899e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,mean-reversion,0,0.0,0.0,1.0,0.0
Base summary,2,6,3.1261804542003576e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,mean-reversion,3,1.0,0.0,1.0,0.0
Base summary,2,7,3.14506306154898e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,mean-reversion,1,1.0,0.0,1.0,0.0
Base summary,2,8,3.4219367068441426e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,volatility-clustering,1,1.0,1.0,1.0,1.0
Base summary,2,9,3.489833967229617e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,volatility-clustering,0,1.0,0.0,1.0,1.0
Base summary,2,10,3.501309601740692e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,volatility-clustering,3,1.0,0.0,1.0,1.0
Base summary,3,1,3.822092936166461e-08,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,barbell-bridge,0,0.0,0.0,0.0,0.0
Base summary,3,2,4.138179497318262e-08,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,barbell-bridge,1,1.0,0.0,0.0,0.0
Base summary,3,3,5.3328747881211874e-08,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,barbell-bridge,2,0.0,0.0,0.0,0.0
Base summary,3,4,3.580582677142294e-07,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,mean-reversion,2,0.0,0.0,1.0,0.0
Base summary,3,5,3.59590007553215e-07,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,mean-reversion,0,0.0,0.0,1.0,0.0
Base summary,3,6,3.6170530457589006e-07,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,mean-reversion,3,1.0,0.0,1.0,0.0
Base summary,3,7,3.6354621667242704e-07,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,mean-reversion,1,1.0,0.0,1.0,0.0
Base summary,3,8,3.9086367799878953e-07,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,volatility-clustering,1,1.0,1.0,1.0,1.0
Base summary,3,9,3.9773380695037334e-07,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,volatility-clustering,0,1.0,0.0,1.0,1.0
Base summary,3,10,3.9929894825686807e-07,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,volatility-clustering,3,1.0,0.0,1.0,1.0
Base summary,4,1,6.56295645568309e-09,budget_06_thin_strip,crescent,0,budget_06_thin_strip,crescent,1,0.0,0.0,0.0,1.0
Base summary,4,2,1.0433546576639032e-08,budget_06_thin_strip,crescent,0,budget_06_thin_strip,crescent,3,0.0,0.0,0.0,1.0
Base summary,4,3,1.99177191076168e-08,budget_06_thin_strip,crescent,0,budget_06_thin_strip,crescent,2,0.0,0.0,0.0,0.0
Base summary,4,4,1.7748824385137562e-07,budget_06_thin_strip,crescent,0,budget_06_thin_strip,cross-branch,3,1.0,1.0,1.0,1.0
Base summary,4,5,1.7829712188631546e-07,budget_06_thin_strip,crescent,0,budget_06_thin_strip,cross-branch,1,1.0,1.0,1.0,1.0
Base summary,4,6,1.7938636621277343e-07,budget_06_thin_strip,crescent,0,budget_06_thin_strip,cross-branch,2,1.0,1.0,1.0,1.0
Base summary,4,7,1.8383436337413313e-07,budget_06_thin_strip,crescent,0,budget_06_thin_strip,cross-branch,0,1.0,1.0,1.0,1.0
Base summary,4,8,1.8778119877769307e-07,budget_06_thin_strip,crescent,0,budget_06_thin_strip,volatility-clustering,0,1.0,1.0,1.0,1.0
Base summary,4,9,1.8894323673165725e-07,budget_06_thin_strip,crescent,0,budget_06_thin_strip,volatility-clustering,1,0.0,0.0,1.0,1.0
Base summary,4,10,1.9665756333234422e-07,budget_06_thin_strip,crescent,0,budget_06_thin_strip,volatility-clustering,3,1.0,1.0,1.0,1.0
Base summary,5,1,6.56295645568309e-09,budget_06_thin_strip,crescent,1,budget_06_thin_strip,crescent,0,0.0,0.0,0.0,1.0
Base summary,5,2,1.3932086758493609e-08,budget_06_thin_strip,crescent,1,budget_06_thin_strip,crescent,3,0.0,0.0,0.0,0.0
Base summary,5,3,1.4249838772744899e-08,budget_06_thin_strip,crescent,1,budget_06_thin_strip,crescent,2,0.0,0.0,0.0,1.0
Base summary,5,4,1.7101558635387574e-07,budget_06_thin_strip,crescent,1,budget_06_thin_strip,cross-branch,3,1.0,1.0,1.0,1.0
Base summary,5,5,1.718290572746881e-07,budget_06_thin_strip,crescent,1,budget_06_thin_strip,cross-branch,1,1.0,1.0,1.0,1.0
Base summary,5,6,1.729053388767118e-07,budget_06_thin_strip,crescent,1,budget_06_thin_strip,cross-branch,2,1.0,1.0,1.0,1.0
Base summary,5,7,1.773623433593694e-07,budget_06_thin_strip,crescent,1,budget_06_thin_strip,cross-branch,0,1.0,1.0,1.0,1.0
Base summary,5,8,1.8138761184650223e-07,budget_06_thin_strip,crescent,1,budget_06_thin_strip,volatility-clustering,0,1.0,1.0,1.0,0.0
Base summary,5,9,1.8260031111264042e-07,budget_06_thin_strip,crescent,1,budget_06_thin_strip,volatility-clustering,1,0.0,0.0,1.0,1.0
Base summary,5,10,1.9023634782457704e-07,budget_06_thin_strip,crescent,1,budget_06_thin_strip,volatility-clustering,3,1.0,1.0,1.0,1.0
Base summary,6,1,1.4249838772744899e-08,budget_06_thin_strip,crescent,2,budget_06_thin_strip,crescent,1,0.0,0.0,0.0,1.0
Base summary,6,2,1.99177191076168e-08,budget_06_thin_strip,crescent,2,budget_06_thin_strip,crescent,0,0.0,0.0,0.0,0.0
Base summary,6,3,2.1299765343273972e-08,budget_06_thin_strip,crescent,2,budget_06_thin_strip,crescent,3,0.0,0.0,0.0,1.0
Base summary,6,4,1.6137340162683289e-07,budget_06_thin_strip,crescent,2,budget_06_thin_strip,cross-branch,3,1.0,1.0,1.0,1.0
Base summary,6,5,1.6225099928092661e-07,budget_06_thin_strip,crescent,2,budget_06_thin_strip,cross-branch,1,1.0,1.0,1.0,1.0
