probe_cell_id,budget,family,seed,phase_name,method,valid_output,runtime_s,proxy_score,norm_cd,iou,coverage,mean_linf_error,cov_linf_error,cov_fro_error,normalized_violation_severity,budget_violation
protocol_b:budget_06_thin_strip:multi-hole:seed3:n64,budget_06_thin_strip,multi-hole,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.01902180000251974,0.36737176423068785,0.3338005039603705,0.09900990099009901,0.546875,2.7755575615628914e-17,4.440892098500626e-16,4.492632392838105e-16,4.440892098500626e-14,0
protocol_b:budget_10_extreme:crescent:seed3:n64,budget_10_extreme,crescent,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.014051800000743242,0.6748604894196626,0.339894782647039,0.1356382978723404,0.453125,3.8163916471489756e-17,8.881784197001252e-16,9.485749680535094e-16,8.881784197001252e-14,0
protocol_b:budget_10_extreme:cross-branch:seed3:n64,budget_10_extreme,cross-branch,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.010204900001554051,0.6879341212047576,0.2968206167495216,0.14939024390243902,0.65625,4.5102810375396984e-17,1.1102230246251565e-15,1.3042167484290357e-15,1.1102230246251565e-13,0
protocol_b:budget_10_extreme:multi-hole:seed3:n64,budget_10_extreme,multi-hole,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.010320000001229346,0.7114414515305132,0.2801745440764882,0.14777777777777779,0.609375,3.469446951953614e-17,1.7763568394002505e-15,1.841096603147574e-15,1.7763568394002505e-13,0
protocol_b:budget_10_extreme:volatility-clustering:seed0:n64,budget_10_extreme,volatility-clustering,0,optimization-limited zone,Conditional flow matching + exact projection,1,0.00849940000261995,0.6000086626446138,0.28490386595995754,0.15025252525252525,0.625,2.1510571102112408e-16,4.440892098500626e-16,5.874748045952207e-16,4.440892098500626e-14,0
protocol_b:budget_15_vertical_strip:spiral:seed3:n64,budget_15_vertical_strip,spiral,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.015026499997475185,0.6734208287134309,0.35543598279734645,0.07204610951008646,0.453125,4.423544863740858e-17,8.881784197001252e-16,9.054693582553367e-16,8.881784197001252e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed0:n64,budget_17_high_rot_aniso,volatility-clustering,0,optimization-limited zone,Conditional flow matching + exact projection,1,0.010175100000196835,0.6248239251190844,0.2869648266090865,0.10397553516819572,0.78125,2.992397996059992e-17,8.881784197001252e-16,9.08756711201214e-16,8.881784197001252e-14,0
protocol_b:budget_18_neg_diag_extreme:cross-branch:seed3:n64,budget_18_neg_diag_extreme,cross-branch,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.008964900000137277,0.5962058814443634,0.2789464622498917,0.13378378378378378,0.59375,6.440160904563896e-17,1.9984014443252818e-15,2.1210781103223385e-15,1.9984014443252818e-13,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed3:n64,budget_22_broad_high_cond,barbell-bridge,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.012706699999398552,0.6068514806510031,0.289618917916343,0.10047281323877069,0.625,4.640385298237959e-17,3.1086244689504383e-15,3.3615199195763796e-15,3.1086244689504383e-13,0
protocol_b:budget_23_small_high_cond:pinwheel:seed3:n64,budget_23_small_high_cond,pinwheel,3,optimization-limited zone,Conditional flow matching + exact projection,1,0.010312899998098146,0.6168730995915127,0.26805052231981913,0.15538847117794485,0.640625,3.209238430557093e-17,5.551115123125783e-16,5.715222817774257e-16,5.551115123125783e-14,0
protocol_b:budget_06_thin_strip:pinwheel:seed2:n64,budget_06_thin_strip,pinwheel,2,effective-collapse zone,Conditional flow matching + exact projection,1,0.010027100001025246,0.6650964122560604,0.2976319233633619,0.1436651583710407,0.671875,1.7401444868392346e-17,4.440892098500626e-16,5.102800490722269e-16,4.440892098500626e-14,0
protocol_b:budget_10_extreme:multi-hole:seed0:n64,budget_10_extreme,multi-hole,0,effective-collapse zone,Conditional flow matching + exact projection,1,0.010542799998802366,0.5631980928485074,0.35747535949374254,0.12595837897042717,0.5,4.683753385137379e-17,4.440892098500626e-16,5.768888059150692e-16,4.440892098500626e-14,0
protocol_b:budget_10_extreme:nested-rings:seed2:n64,budget_10_extreme,nested-rings,2,effective-collapse zone,Conditional flow matching + exact projection,1,0.0182502999996359,0.5895828406546931,0.3249184643646874,0.15990990990990991,0.5,8.543513119185775e-17,2.220446049250313e-16,3.510833468576701e-16,2.220446049250313e-14,0
protocol_b:budget_10_extreme:nested-rings:seed3:n64,budget_10_extreme,nested-rings,3,effective-collapse zone,Conditional flow matching + exact projection,1,0.017080300000088755,0.6591506034798178,0.33684803895769855,0.1265678449258837,0.40625,6.765421556309548e-17,3.3306690738754696e-16,5.087681048627601e-16,3.3306690738754696e-14,0
protocol_b:budget_10_extreme:pinwheel:seed2:n64,budget_10_extreme,pinwheel,2,effective-collapse zone,Conditional flow matching + exact projection,1,0.011480600001959829,0.5421517985090721,0.26717234464629086,0.1272294887039239,0.8125,6.201636426617085e-17,6.661338147750939e-16,1.2008898127460164e-15,6.661338147750939e-14,0
protocol_b:budget_10_extreme:spiral:seed0:n64,budget_10_extreme,spiral,0,effective-collapse zone,Conditional flow matching + exact projection,1,0.008891299999959301,0.5254499007620697,0.3002023692478229,0.12761020881670534,0.5,3.903127820947816e-17,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-14,0
protocol_b:budget_17_high_rot_aniso:pinwheel:seed0:n64,budget_17_high_rot_aniso,pinwheel,0,effective-collapse zone,Conditional flow matching + exact projection,1,0.011848699999973178,0.6699399249170144,0.31274092212390026,0.09007164790174002,0.75,8.847089727481716e-17,6.661338147750939e-16,6.798699777552592e-16,6.661338147750939e-14,0
protocol_b:budget_18_neg_diag_extreme:volatility-clustering:seed1:n64,budget_18_neg_diag_extreme,volatility-clustering,1,effective-collapse zone,Conditional flow matching + exact projection,1,0.016502300000865944,0.48683660759903574,0.2582378187070931,0.1764032073310424,0.796875,1.2967057982926633e-16,1.7763568394002505e-15,2.8152418914086855e-15,1.7763568394002505e-13,0
protocol_b:budget_24_rotated_slender:pinwheel:seed0:n64,budget_24_rotated_slender,pinwheel,0,effective-collapse zone,Conditional flow matching + exact projection,1,0.015382699999463512,0.66571283420296,0.2896069569499488,0.14116251482799524,0.734375,4.163336342344337e-17,2.220446049250313e-16,2.2887833992611187e-16,2.220446049250313e-14,0
protocol_b:budget_24_rotated_slender:pinwheel:seed2:n64,budget_24_rotated_slender,pinwheel,2,effective-collapse zone,Conditional flow matching + exact projection,1,0.017503799997939495,0.58892401343246,0.2479519730439369,0.1395617070357555,0.78125,2.0057740190981832e-17,1.6653345369377348e-16,2.2887833992611187e-16,1.6653345369377348e-14,0
protocol_b:budget_10_extreme:crescent:seed0:n64,budget_10_extreme,crescent,0,ambiguity zone,Conditional flow matching + exact projection,1,0.01449000000138767,0.6581035082478361,0.31464040294523077,0.11044417767106843,0.421875,1.0278236595162582e-16,1.5543122344752192e-15,1.6392246515987586e-15,1.5543122344752192e-13,0
protocol_b:budget_17_high_rot_aniso:double-loop:seed1:n64,budget_17_high_rot_aniso,double-loop,1,ambiguity zone,Conditional flow matching + exact projection,1,0.008829299997159978,0.5774322625672585,0.31733111228254135,0.06506024096385542,0.515625,7.979727989493313e-17,8.881784197001252e-16,1.0735345726716592e-15,8.881784197001252e-14,0
protocol_b:budget_17_high_rot_aniso:double-loop:seed3:n64,budget_17_high_rot_aniso,double-loop,3,ambiguity zone,Conditional flow matching + exact projection,1,0.010027599997556536,0.56164092430452,0.327605008646847,0.04922279792746114,0.4375,2.677979366039196e-17,2.220446049250313e-16,3.925231146709438e-16,2.220446049250313e-14,0
protocol_b:budget_17_high_rot_aniso:mean-reversion:seed2:n64,budget_17_high_rot_aniso,mean-reversion,2,ambiguity zone,Conditional flow matching + exact projection,1,0.018067099998006597,0.5686908159831326,0.30596777651000234,0.12280701754385964,0.65625,5.724587470723463e-17,2.220446049250313e-16,2.4196749845665633e-16,2.220446049250313e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed3:n64,budget_17_high_rot_aniso,volatility-clustering,3,ambiguity zone,Conditional flow matching + exact projection,1,0.016063700000813697,0.5850264061286782,0.28880701425764954,0.12339930151338765,0.78125,1.2576745200831851e-17,1.3322676295501878e-15,1.3811013782199764e-15,1.3322676295501878e-13,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed2:n64,budget_22_broad_high_cond,barbell-bridge,2,ambiguity zone,Conditional flow matching + exact projection,1,0.017944600000191713,0.6053174225177603,0.31859882616495644,0.1044613710554951,0.609375,1.0234868508263162e-16,2.6645352591003757e-15,2.7194799110210367e-15,2.6645352591003757e-13,0
protocol_b:budget_22_broad_high_cond:double-loop:seed3:n64,budget_22_broad_high_cond,double-loop,3,ambiguity zone,Conditional flow matching + exact projection,1,0.016187199998967117,0.5994371547526781,0.3722072548332418,0.06914212548015365,0.359375,5.551115123125783e-17,3.3306690738754696e-16,5.4672143489065705e-16,3.3306690738754696e-14,0
protocol_b:budget_24_rotated_slender:double-loop:seed0:n64,budget_24_rotated_slender,double-loop,0,ambiguity zone,Conditional flow matching + exact projection,1,0.00848039999982575,0.6707511090441961,0.29231374688836526,0.07552447552447553,0.484375,1.474514954580286e-17,4.440892098500626e-16,5.147892387644517e-16,4.440892098500626e-14,0
protocol_b:budget_24_rotated_slender:double-loop:seed1:n64,budget_24_rotated_slender,double-loop,1,ambiguity zone,Conditional flow matching + exact projection,1,0.011729199999535922,0.6352428869649523,0.2872159529770308,0.10620689655172413,0.625,3.8272336688738307e-17,1.3322676295501878e-15,1.4163504615997217e-15,1.3322676295501878e-13,0
protocol_b:budget_24_rotated_slender:mean-reversion:seed2:n64,budget_24_rotated_slender,mean-reversion,2,ambiguity zone,Conditional flow matching + exact projection,1,0.014080699998885393,0.6677275495159146,0.2937716882789166,0.10192525481313704,0.640625,1.0061396160665481e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-14,0
protocol_b:budget_06_thin_strip:mean-reversion:seed0:n64,budget_06_thin_strip,mean-reversion,0,decision-fragile zone,Conditional flow matching + exact projection,1,0.018152299999201205,0.7157458925288528,0.30832135287207035,0.11743772241992882,0.53125,5.551115123125783e-17,4.440892098500626e-16,4.839349969133127e-16,4.440892098500626e-14,0
