probe_cell_id,budget,family,seed,phase_name,method,valid_output,runtime_s,proxy_score,norm_cd,iou,coverage,mean_linf_error,cov_linf_error,cov_fro_error,normalized_violation_severity,budget_violation
protocol_b:budget_06_thin_strip:multi-hole:seed3:n64,budget_06_thin_strip,multi-hole,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.06742049999593291,0.47356106822572164,0.2707161233027078,0.14856557377049182,0.609375,6.591949208711867e-17,6.661338147750939e-16,7.290793267202665e-16,6.661338147750939e-14,0
protocol_b:budget_10_extreme:crescent:seed3:n64,budget_10_extreme,crescent,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.060314000002108514,0.5649748802920476,0.2962157329087264,0.10544611819235226,0.515625,2.168404344971009e-17,8.881784197001252e-16,1.4812222630807097e-15,8.881784197001252e-14,0
protocol_b:budget_10_extreme:cross-branch:seed3:n64,budget_10_extreme,cross-branch,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.058316099995863624,0.5122088150087749,0.2601232456404561,0.12164073550212164,0.71875,1.734723475976807e-17,2.220446049250313e-16,3.8459253727671276e-16,2.220446049250313e-14,0
protocol_b:budget_10_extreme:multi-hole:seed3:n64,budget_10_extreme,multi-hole,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.06387299999187235,0.43822158940829375,0.25204120906398364,0.14301552106430154,0.671875,6.960577947356938e-17,6.661338147750939e-16,7.691850745534255e-16,6.661338147750939e-14,0
protocol_b:budget_10_extreme:volatility-clustering:seed0:n64,budget_10_extreme,volatility-clustering,0,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.06489569999394007,0.419086473470791,0.2533675986394748,0.16831683168316833,0.75,1.0755285551056204e-16,2.220446049250313e-15,2.7755575615628914e-15,2.220446049250313e-13,0
protocol_b:budget_15_vertical_strip:spiral:seed3:n64,budget_15_vertical_strip,spiral,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.05690809999941848,0.4674606243889346,0.28115969677198843,0.12289395441030723,0.609375,3.122502256758253e-17,4.440892098500626e-16,5.551837173244926e-16,4.440892098500626e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed0:n64,budget_17_high_rot_aniso,volatility-clustering,0,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.05181940000329632,0.4490245983832346,0.29264039113045265,0.16219119226638024,0.75,3.122502256758253e-17,4.440892098500626e-16,7.087189354717363e-16,4.440892098500626e-14,0
protocol_b:budget_18_neg_diag_extreme:cross-branch:seed3:n64,budget_18_neg_diag_extreme,cross-branch,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.06240230001276359,0.48772401470057963,0.3003508193974267,0.08892128279883382,0.578125,1.474514954580286e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-14,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed3:n64,budget_22_broad_high_cond,barbell-bridge,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.06595010000455659,0.43392055705571503,0.27203750513793895,0.14526588845654995,0.765625,1.1796119636642288e-16,1.3322676295501878e-15,1.4770556661825108e-15,1.3322676295501878e-13,0
protocol_b:budget_23_small_high_cond:pinwheel:seed3:n64,budget_23_small_high_cond,pinwheel,3,optimization-limited zone,Contextual-prior Transformer flow + exact projection,1,0.06535750000330154,0.47675599843462246,0.2217016706398737,0.1761723700887199,0.828125,3.458604930228759e-17,3.3306690738754696e-16,5.578801654593729e-16,3.3306690738754696e-14,0
protocol_b:budget_06_thin_strip:pinwheel:seed2:n64,budget_06_thin_strip,pinwheel,2,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.05471430000034161,0.4983833303429158,0.22527911743429327,0.10333333333333333,0.828125,3.209238430557093e-17,8.881784197001252e-16,9.20548301573787e-16,8.881784197001252e-14,0
protocol_b:budget_10_extreme:multi-hole:seed0:n64,budget_10_extreme,multi-hole,0,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.05358920000435319,0.4994597163818338,0.23575756216415972,0.14702702702702702,0.671875,8.716985466783456e-17,1.1102230246251565e-15,1.2060109012779447e-15,1.1102230246251565e-13,0
protocol_b:budget_10_extreme:nested-rings:seed2:n64,budget_10_extreme,nested-rings,2,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.05292300001019612,0.46801067862192147,0.2561521691367838,0.14726027397260275,0.59375,2.7755575615628914e-17,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-14,0
protocol_b:budget_10_extreme:nested-rings:seed3:n64,budget_10_extreme,nested-rings,3,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.056822500002454035,0.4854089202434344,0.20828889391101132,0.14695340501792115,0.6875,2.0383000842727483e-17,8.881784197001252e-16,1.0295784775289034e-15,8.881784197001252e-14,0
protocol_b:budget_10_extreme:pinwheel:seed2:n64,budget_10_extreme,pinwheel,2,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.059873799997149035,0.489511124927903,0.255829611789558,0.11246943765281174,0.796875,7.632783294297951e-17,1.9984014443252818e-15,2.447531919918933e-15,1.9984014443252818e-13,0
protocol_b:budget_10_extreme:spiral:seed0:n64,budget_10_extreme,spiral,0,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.06229899999743793,0.4501090427739772,0.2307123963669903,0.17079530638852672,0.609375,1.2202695451324352e-16,7.771561172376096e-16,1.1696925375895549e-15,7.771561172376096e-14,0
protocol_b:budget_17_high_rot_aniso:pinwheel:seed0:n64,budget_17_high_rot_aniso,pinwheel,0,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.06253650000144262,0.47753431670051705,0.24898072924889708,0.11688311688311688,0.84375,8.977193988179977e-17,2.4424906541753444e-15,2.493062597795428e-15,2.4424906541753444e-13,0
protocol_b:budget_18_neg_diag_extreme:volatility-clustering:seed1:n64,budget_18_neg_diag_extreme,volatility-clustering,1,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.06318399999872781,0.5156441204008021,0.2575099131936788,0.11543134872417983,0.703125,1.0842021724855044e-16,4.440892098500626e-16,4.839349969133127e-16,4.440892098500626e-14,0
protocol_b:budget_24_rotated_slender:pinwheel:seed0:n64,budget_24_rotated_slender,pinwheel,0,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.06394369999179617,0.4701925341862867,0.2254192354822633,0.10356731875719218,0.734375,8.760353553682876e-17,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-14,0
protocol_b:budget_24_rotated_slender:pinwheel:seed2:n64,budget_24_rotated_slender,pinwheel,2,effective-collapse zone,Contextual-prior Transformer flow + exact projection,1,0.06875940000463743,0.4547678242617618,0.23776602353933585,0.13277511961722488,0.78125,5.193328406205566e-17,4.440892098500626e-16,5.026748538604307e-16,4.440892098500626e-14,0
protocol_b:budget_10_extreme:crescent:seed0:n64,budget_10_extreme,crescent,0,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.05986249999841675,0.580700619684085,0.2622416845567718,0.1091127098321343,0.578125,6.526897078362737e-17,2.220446049250313e-16,3.510833468576701e-16,2.220446049250313e-14,0
protocol_b:budget_17_high_rot_aniso:double-loop:seed1:n64,budget_17_high_rot_aniso,double-loop,1,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.08777270000427961,0.5989399760125816,0.26038185237742206,0.05454545454545454,0.59375,3.642919299551295e-17,1.1102230246251565e-15,1.1827914066321619e-15,1.1102230246251565e-13,0
protocol_b:budget_17_high_rot_aniso:double-loop:seed3:n64,budget_17_high_rot_aniso,double-loop,3,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.06613130000187084,0.5348031207272008,0.288388740555354,0.04851752021563342,0.484375,5.724587470723463e-17,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-14,0
protocol_b:budget_17_high_rot_aniso:mean-reversion:seed2:n64,budget_17_high_rot_aniso,mean-reversion,2,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.06580130000656936,0.5049929185008294,0.27871237408481025,0.10645526613816535,0.703125,6.071532165918825e-17,2.220446049250313e-16,2.482534153247273e-16,2.220446049250313e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed3:n64,budget_17_high_rot_aniso,volatility-clustering,3,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.08914820000063628,0.513460299980618,0.27502515212140044,0.13697219361483007,0.84375,2.6020852139652106e-18,1.9984014443252818e-15,2.059905059335007e-15,1.9984014443252818e-13,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed2:n64,budget_22_broad_high_cond,barbell-bridge,2,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.06444689999625552,0.5075570976795265,0.27553239342524966,0.1354309165526676,0.640625,2.42861286636753e-17,2.220446049250313e-15,2.222526742553255e-15,2.220446049250313e-13,0
protocol_b:budget_22_broad_high_cond:double-loop:seed3:n64,budget_22_broad_high_cond,double-loop,3,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.06469169999763835,0.5173024113071085,0.324316750812192,0.09544787077826726,0.421875,3.903127820947816e-18,1.7763568394002505e-15,1.8511117084211232e-15,1.7763568394002505e-13,0
protocol_b:budget_24_rotated_slender:double-loop:seed0:n64,budget_24_rotated_slender,double-loop,0,ambiguity zone,Contextual-prior Transformer flow + exact projection,1,0.058816000004298985,0.5160732418809688,0.24058793230533543,0.13036565977742448,0.625,6.938893903907228e-18,1.3322676295501878e-15,1.3529241734648802e-15,1.3322676295501878e-13,0
