domain,slice,view,benefit,cost,pareto_status,dominated_by,benefit_definition
synthetic_balanced_accuracy,semi_real,moments_only,0.2222222222222222,0.0,frontier,,balanced downstream action accuracy before access cost
synthetic_balanced_accuracy,semi_real,occupancy_grid,0.3333333333333333,0.28,frontier,,balanced downstream action accuracy before access cost
synthetic_balanced_accuracy,semi_real,raster,0.1666666666666666,0.42,dominated,moments_only;occupancy_grid,balanced downstream action accuracy before access cost
synthetic_balanced_accuracy,semi_real,point_cloud,0.1666666666666666,0.58,dominated,moments_only;occupancy_grid;raster,balanced downstream action accuracy before access cost
synthetic_balanced_accuracy,synthetic_heldout,moments_only,0.6666666666666666,0.0,frontier,,balanced downstream action accuracy before access cost
synthetic_balanced_accuracy,synthetic_heldout,occupancy_grid,0.75,0.28,frontier,,balanced downstream action accuracy before access cost
synthetic_balanced_accuracy,synthetic_heldout,raster,0.5416666666666666,0.42,dominated,moments_only;occupancy_grid,balanced downstream action accuracy before access cost
synthetic_balanced_accuracy,synthetic_heldout,point_cloud,0.6770833333333334,0.58,dominated,occupancy_grid,balanced downstream action accuracy before access cost
synthetic_cell_accuracy,semi_real,moments_only,0.2222222222222222,0.0,frontier,,per-cell downstream action correctness before access cost
synthetic_cell_accuracy,semi_real,occupancy_grid,0.05555555555555555,0.28,dominated,moments_only,per-cell downstream action correctness before access cost
synthetic_cell_accuracy,semi_real,raster,0.2777777777777778,0.42,frontier,,per-cell downstream action correctness before access cost
synthetic_cell_accuracy,semi_real,point_cloud,0.16666666666666666,0.58,dominated,moments_only;raster,per-cell downstream action correctness before access cost
synthetic_cell_accuracy,synthetic_heldout,moments_only,0.5729166666666666,0.0,frontier,,per-cell downstream action correctness before access cost
synthetic_cell_accuracy,synthetic_heldout,occupancy_grid,0.6458333333333334,0.28,frontier,,per-cell downstream action correctness before access cost
synthetic_cell_accuracy,synthetic_heldout,raster,0.625,0.42,dominated,occupancy_grid,per-cell downstream action correctness before access cost
synthetic_cell_accuracy,synthetic_heldout,point_cloud,0.6979166666666666,0.58,frontier,,per-cell downstream action correctness before access cost
bloomberg_minute_slice,calm,summary_only,-0.17701149425287357,0.03,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,calm,coarse_path,0.3011494252873563,0.2,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,calm,cross_asset_path,0.5751724137931035,0.33999999999999986,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,event-driven,summary_only,0.6984025559105431,0.029999999999999995,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,event-driven,coarse_path,0.6779552715654952,0.2,dominated,summary_only,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,event-driven,cross_asset_path,0.7750798722044728,0.3399999999999999,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,recovery,summary_only,-0.23351955307262567,0.03,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,recovery,coarse_path,0.42793296089385474,0.2,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,recovery,cross_asset_path,0.49050279329608937,0.3399999999999999,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,stress,summary_only,-0.06832814122533747,0.03,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,stress,coarse_path,0.40353063343717543,0.2,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,stress,cross_asset_path,0.5779854620976117,0.3399999999999999,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,unknown,summary_only,0.2547945205479452,0.03,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,unknown,coarse_path,0.4520547945205479,0.2,frontier,,Bloomberg action payoff before explicit access cost
bloomberg_minute_slice,unknown,cross_asset_path,0.8904109589041096,0.3399999999999999,frontier,,Bloomberg action payoff before explicit access cost
