slice,view,base_winner_share,bootstrap_winner_share,mean_selection_change_rate,p90_selection_change_rate,mean_not_richest_rate,lambda,n_boot,domain
semi_real,moments_only,0.5,0.5,0.0,0.0,0.8333333333333335,0.08,1000,synthetic
semi_real,occupancy_grid,0.05555555555555555,0.05555555555555555,0.0,0.0,0.8333333333333335,0.08,1000,synthetic
semi_real,raster,0.2777777777777778,0.2777777777777778,0.0,0.0,0.8333333333333335,0.08,1000,synthetic
semi_real,point_cloud,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333335,0.08,1000,synthetic
synthetic_heldout,moments_only,0.625,0.625,0.0018958333333333336,0.0,0.977270833333333,0.08,1000,synthetic
synthetic_heldout,occupancy_grid,0.2708333333333333,0.2708333333333333,0.0018958333333333336,0.0,0.977270833333333,0.08,1000,synthetic
synthetic_heldout,raster,0.08333333333333333,0.0814375,0.0018958333333333336,0.0,0.977270833333333,0.08,1000,synthetic
synthetic_heldout,point_cloud,0.020833333333333332,0.02272916666666667,0.0018958333333333336,0.0,0.977270833333333,0.08,1000,synthetic
calm,summary_only,0.4574712643678161,0.4574712643678161,0.0,0.0,0.8517241379310344,1.0,1000,bloomberg_minute_slice
calm,coarse_path,0.39425287356321836,0.39425287356321836,0.0,0.0,0.8517241379310344,1.0,1000,bloomberg_minute_slice
calm,cross_asset_path,0.1482758620689655,0.1482758620689655,0.0,0.0,0.8517241379310344,1.0,1000,bloomberg_minute_slice
event-driven,summary_only,0.853035143769968,0.853035143769968,0.0,0.0,0.9233226837060703,1.0,1000,bloomberg_minute_slice
event-driven,coarse_path,0.07028753993610223,0.07028753993610223,0.0,0.0,0.9233226837060703,1.0,1000,bloomberg_minute_slice
event-driven,cross_asset_path,0.07667731629392971,0.07667731629392971,0.0,0.0,0.9233226837060703,1.0,1000,bloomberg_minute_slice
recovery,summary_only,0.4748603351955307,0.4748603351955307,0.0,0.0,0.9553072625698321,1.0,1000,bloomberg_minute_slice
recovery,coarse_path,0.48044692737430167,0.48044692737430167,0.0,0.0,0.9553072625698321,1.0,1000,bloomberg_minute_slice
recovery,cross_asset_path,0.0446927374301676,0.0446927374301676,0.0,0.0,0.9553072625698321,1.0,1000,bloomberg_minute_slice
stress,summary_only,0.5451713395638629,0.5451713395638629,0.0,0.0,0.8961578400830738,1.0,1000,bloomberg_minute_slice
stress,coarse_path,0.3509865005192108,0.3509865005192108,0.0,0.0,0.8961578400830738,1.0,1000,bloomberg_minute_slice
stress,cross_asset_path,0.10384215991692627,0.10384215991692627,0.0,0.0,0.8961578400830738,1.0,1000,bloomberg_minute_slice
unknown,summary_only,0.6027397260273972,0.6027397260273972,0.0,0.0,0.7671232876712327,1.0,1000,bloomberg_minute_slice
unknown,coarse_path,0.1643835616438356,0.1643835616438356,0.0,0.0,0.7671232876712327,1.0,1000,bloomberg_minute_slice
unknown,cross_asset_path,0.2328767123287671,0.2328767123287671,0.0,0.0,0.7671232876712327,1.0,1000,bloomberg_minute_slice
