lambda,cost_multiplier,winner,slice
0.0,0.6,raster,semi_real
0.0,0.61,raster,semi_real
0.0,0.62,raster,semi_real
0.0,0.63,raster,semi_real
0.0,0.64,raster,semi_real
0.0,0.65,raster,semi_real
0.0,0.6599999999999999,raster,semi_real
0.0,0.6699999999999999,raster,semi_real
0.0,0.6799999999999999,raster,semi_real
0.0,0.69,raster,semi_real
0.0,0.7,raster,semi_real
0.0,0.71,raster,semi_real
0.0,0.72,raster,semi_real
0.0,0.73,raster,semi_real
0.0,0.74,raster,semi_real
0.0,0.75,raster,semi_real
0.0,0.76,raster,semi_real
0.0,0.77,raster,semi_real
0.0,0.78,raster,semi_real
0.0,0.79,raster,semi_real
0.0,0.8,raster,semi_real
0.0,0.8099999999999999,raster,semi_real
0.0,0.82,raster,semi_real
0.0,0.83,raster,semi_real
0.0,0.84,raster,semi_real
0.0,0.85,raster,semi_real
0.0,0.86,raster,semi_real
0.0,0.87,raster,semi_real
0.0,0.88,raster,semi_real
0.0,0.8899999999999999,raster,semi_real
0.0,0.8999999999999999,raster,semi_real
0.0,0.9099999999999999,raster,semi_real
0.0,0.9199999999999999,raster,semi_real
0.0,0.9299999999999999,raster,semi_real
0.0,0.94,raster,semi_real
0.0,0.95,raster,semi_real
0.0,0.96,raster,semi_real
0.0,0.97,raster,semi_real
0.0,0.98,raster,semi_real
0.0,0.99,raster,semi_real
0.0,1.0,raster,semi_real
0.0,1.01,raster,semi_real
0.0,1.02,raster,semi_real
0.0,1.03,raster,semi_real
0.0,1.04,raster,semi_real
0.0,1.05,raster,semi_real
0.0,1.06,raster,semi_real
0.0,1.07,raster,semi_real
0.0,1.08,raster,semi_real
0.0,1.0899999999999999,raster,semi_real
0.0,1.1,raster,semi_real
0.0,1.1099999999999999,raster,semi_real
0.0,1.12,raster,semi_real
0.0,1.13,raster,semi_real
0.0,1.1400000000000001,raster,semi_real
0.0,1.15,raster,semi_real
0.0,1.1600000000000001,raster,semi_real
0.0,1.17,raster,semi_real
0.0,1.18,raster,semi_real
0.0,1.19,raster,semi_real
0.0,1.2,raster,semi_real
0.0,1.21,raster,semi_real
0.0,1.22,raster,semi_real
0.0,1.23,raster,semi_real
0.0,1.24,raster,semi_real
0.0,1.25,raster,semi_real
0.0,1.26,raster,semi_real
0.0,1.27,raster,semi_real
0.0,1.28,raster,semi_real
0.0,1.29,raster,semi_real
0.0,1.3,raster,semi_real
0.0,1.31,raster,semi_real
0.0,1.3199999999999998,raster,semi_real
0.0,1.33,raster,semi_real
0.0,1.3399999999999999,raster,semi_real
0.0,1.35,raster,semi_real
0.0,1.3599999999999999,raster,semi_real
0.0,1.37,raster,semi_real
0.0,1.38,raster,semi_real
0.0,1.3900000000000001,raster,semi_real
0.0,1.4,raster,semi_real
0.0,1.4100000000000001,raster,semi_real
0.0,1.42,raster,semi_real
0.0,1.4300000000000002,raster,semi_real
0.0,1.44,raster,semi_real
0.0,1.45,raster,semi_real
0.0,1.46,raster,semi_real
0.0,1.47,raster,semi_real
0.0,1.48,raster,semi_real
0.0,1.49,raster,semi_real
0.0,1.5,raster,semi_real
0.0,1.51,raster,semi_real
0.0,1.52,raster,semi_real
0.0,1.53,raster,semi_real
0.0,1.54,raster,semi_real
0.0,1.55,raster,semi_real
0.0,1.56,raster,semi_real
0.0,1.5699999999999998,raster,semi_real
0.0,1.58,raster,semi_real
0.0,1.5899999999999999,raster,semi_real
0.0,1.6,raster,semi_real
0.002,0.6,raster,semi_real
0.002,0.61,raster,semi_real
0.002,0.62,raster,semi_real
0.002,0.63,raster,semi_real
0.002,0.64,raster,semi_real
0.002,0.65,raster,semi_real
0.002,0.6599999999999999,raster,semi_real
0.002,0.6699999999999999,raster,semi_real
0.002,0.6799999999999999,raster,semi_real
0.002,0.69,raster,semi_real
0.002,0.7,raster,semi_real
0.002,0.71,raster,semi_real
0.002,0.72,raster,semi_real
0.002,0.73,raster,semi_real
0.002,0.74,raster,semi_real
0.002,0.75,raster,semi_real
0.002,0.76,raster,semi_real
0.002,0.77,raster,semi_real
0.002,0.78,raster,semi_real
0.002,0.79,raster,semi_real
0.002,0.8,raster,semi_real
0.002,0.8099999999999999,raster,semi_real
0.002,0.82,raster,semi_real
0.002,0.83,raster,semi_real
0.002,0.84,raster,semi_real
0.002,0.85,raster,semi_real
0.002,0.86,raster,semi_real
0.002,0.87,raster,semi_real
0.002,0.88,raster,semi_real
0.002,0.8899999999999999,raster,semi_real
0.002,0.8999999999999999,raster,semi_real
0.002,0.9099999999999999,raster,semi_real
0.002,0.9199999999999999,raster,semi_real
0.002,0.9299999999999999,raster,semi_real
0.002,0.94,raster,semi_real
0.002,0.95,raster,semi_real
0.002,0.96,raster,semi_real
0.002,0.97,raster,semi_real
0.002,0.98,raster,semi_real
0.002,0.99,raster,semi_real
0.002,1.0,raster,semi_real
0.002,1.01,raster,semi_real
0.002,1.02,raster,semi_real
0.002,1.03,raster,semi_real
0.002,1.04,raster,semi_real
0.002,1.05,raster,semi_real
0.002,1.06,raster,semi_real
0.002,1.07,raster,semi_real
0.002,1.08,raster,semi_real
0.002,1.0899999999999999,raster,semi_real
0.002,1.1,raster,semi_real
0.002,1.1099999999999999,raster,semi_real
0.002,1.12,raster,semi_real
0.002,1.13,raster,semi_real
0.002,1.1400000000000001,raster,semi_real
0.002,1.15,raster,semi_real
0.002,1.1600000000000001,raster,semi_real
0.002,1.17,raster,semi_real
0.002,1.18,raster,semi_real
0.002,1.19,raster,semi_real
0.002,1.2,raster,semi_real
0.002,1.21,raster,semi_real
0.002,1.22,raster,semi_real
0.002,1.23,raster,semi_real
0.002,1.24,raster,semi_real
0.002,1.25,raster,semi_real
0.002,1.26,raster,semi_real
0.002,1.27,raster,semi_real
0.002,1.28,raster,semi_real
0.002,1.29,raster,semi_real
0.002,1.3,raster,semi_real
0.002,1.31,raster,semi_real
0.002,1.3199999999999998,raster,semi_real
0.002,1.33,raster,semi_real
0.002,1.3399999999999999,raster,semi_real
0.002,1.35,raster,semi_real
0.002,1.3599999999999999,raster,semi_real
0.002,1.37,raster,semi_real
0.002,1.38,raster,semi_real
0.002,1.3900000000000001,raster,semi_real
0.002,1.4,raster,semi_real
0.002,1.4100000000000001,raster,semi_real
0.002,1.42,raster,semi_real
0.002,1.4300000000000002,raster,semi_real
0.002,1.44,raster,semi_real
0.002,1.45,raster,semi_real
0.002,1.46,raster,semi_real
0.002,1.47,raster,semi_real
0.002,1.48,raster,semi_real
0.002,1.49,raster,semi_real
0.002,1.5,raster,semi_real
0.002,1.51,raster,semi_real
0.002,1.52,raster,semi_real
0.002,1.53,raster,semi_real
0.002,1.54,raster,semi_real
0.002,1.55,raster,semi_real
0.002,1.56,raster,semi_real
0.002,1.5699999999999998,raster,semi_real
0.002,1.58,raster,semi_real
0.002,1.5899999999999999,raster,semi_real
0.002,1.6,raster,semi_real
0.004,0.6,raster,semi_real
0.004,0.61,raster,semi_real
0.004,0.62,raster,semi_real
0.004,0.63,raster,semi_real
0.004,0.64,raster,semi_real
0.004,0.65,raster,semi_real
0.004,0.6599999999999999,raster,semi_real
0.004,0.6699999999999999,raster,semi_real
0.004,0.6799999999999999,raster,semi_real
0.004,0.69,raster,semi_real
0.004,0.7,raster,semi_real
0.004,0.71,raster,semi_real
0.004,0.72,raster,semi_real
0.004,0.73,raster,semi_real
0.004,0.74,raster,semi_real
0.004,0.75,raster,semi_real
0.004,0.76,raster,semi_real
0.004,0.77,raster,semi_real
0.004,0.78,raster,semi_real
0.004,0.79,raster,semi_real
0.004,0.8,raster,semi_real
0.004,0.8099999999999999,raster,semi_real
0.004,0.82,raster,semi_real
0.004,0.83,raster,semi_real
0.004,0.84,raster,semi_real
0.004,0.85,raster,semi_real
0.004,0.86,raster,semi_real
0.004,0.87,raster,semi_real
0.004,0.88,raster,semi_real
0.004,0.8899999999999999,raster,semi_real
0.004,0.8999999999999999,raster,semi_real
0.004,0.9099999999999999,raster,semi_real
0.004,0.9199999999999999,raster,semi_real
0.004,0.9299999999999999,raster,semi_real
0.004,0.94,raster,semi_real
0.004,0.95,raster,semi_real
0.004,0.96,raster,semi_real
0.004,0.97,raster,semi_real
0.004,0.98,raster,semi_real
0.004,0.99,raster,semi_real
0.004,1.0,raster,semi_real
0.004,1.01,raster,semi_real
0.004,1.02,raster,semi_real
0.004,1.03,raster,semi_real
0.004,1.04,raster,semi_real
0.004,1.05,raster,semi_real
0.004,1.06,raster,semi_real
0.004,1.07,raster,semi_real
0.004,1.08,raster,semi_real
0.004,1.0899999999999999,raster,semi_real
0.004,1.1,raster,semi_real
0.004,1.1099999999999999,raster,semi_real
0.004,1.12,raster,semi_real
0.004,1.13,raster,semi_real
0.004,1.1400000000000001,raster,semi_real
0.004,1.15,raster,semi_real
0.004,1.1600000000000001,raster,semi_real
0.004,1.17,raster,semi_real
0.004,1.18,raster,semi_real
0.004,1.19,raster,semi_real
0.004,1.2,raster,semi_real
0.004,1.21,raster,semi_real
0.004,1.22,raster,semi_real
0.004,1.23,raster,semi_real
0.004,1.24,raster,semi_real
0.004,1.25,raster,semi_real
