slice,from_view,to_view,delta_task_benefit,delta_cost,lambda_star,richer_can_win_for_positive_lambda,benefit_definition,domain
semi_real,moments_only,occupancy_grid,-0.16666666666666666,0.28,-0.5952380952380951,False,per-cell downstream action correctness,synthetic_cell_accuracy
semi_real,occupancy_grid,raster,0.22222222222222224,0.13999999999999996,1.5873015873015879,True,per-cell downstream action correctness,synthetic_cell_accuracy
semi_real,raster,point_cloud,-0.11111111111111113,0.15999999999999998,-0.6944444444444446,False,per-cell downstream action correctness,synthetic_cell_accuracy
synthetic_heldout,moments_only,occupancy_grid,0.07291666666666674,0.28,0.2604166666666669,True,per-cell downstream action correctness,synthetic_cell_accuracy
synthetic_heldout,occupancy_grid,raster,-0.02083333333333337,0.13999999999999996,-0.1488095238095241,False,per-cell downstream action correctness,synthetic_cell_accuracy
synthetic_heldout,raster,point_cloud,0.07291666666666663,0.15999999999999998,0.4557291666666665,True,per-cell downstream action correctness,synthetic_cell_accuracy
semi_real,moments_only,occupancy_grid,0.1111111111111111,0.28,0.39682539682539675,True,balanced downstream action accuracy,synthetic_balanced_accuracy
semi_real,occupancy_grid,raster,-0.1666666666666667,0.13999999999999996,-1.1904761904761911,False,balanced downstream action accuracy,synthetic_balanced_accuracy
semi_real,raster,point_cloud,0.0,0.15999999999999998,0.0,False,balanced downstream action accuracy,synthetic_balanced_accuracy
synthetic_heldout,moments_only,occupancy_grid,0.08333333333333337,0.28,0.2976190476190477,True,balanced downstream action accuracy,synthetic_balanced_accuracy
synthetic_heldout,occupancy_grid,raster,-0.20833333333333337,0.13999999999999996,-1.4880952380952388,False,balanced downstream action accuracy,synthetic_balanced_accuracy
synthetic_heldout,raster,point_cloud,0.13541666666666674,0.15999999999999998,0.8463541666666673,True,balanced downstream action accuracy,synthetic_balanced_accuracy
calm,summary_only,coarse_path,0.4781609195402299,0.17,2.812711291413117,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
calm,coarse_path,cross_asset_path,0.2740229885057472,0.13999999999999985,1.9573070607553391,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
event-driven,summary_only,coarse_path,-0.020447284345047945,0.17,-0.12027814320616437,False,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
event-driven,coarse_path,cross_asset_path,0.09712460063897765,0.1399999999999999,0.6937471474212694,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
recovery,summary_only,coarse_path,0.6614525139664804,0.17,3.890897140979296,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
recovery,coarse_path,cross_asset_path,0.06256983240223463,0.1399999999999999,0.44692737430167623,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
stress,summary_only,coarse_path,0.4718587746625129,0.17,2.775639850955958,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
stress,coarse_path,cross_asset_path,0.17445482866043627,0.1399999999999999,1.246105919003117,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
unknown,summary_only,coarse_path,0.1972602739726027,0.17,1.1603545527800159,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
unknown,coarse_path,cross_asset_path,0.4383561643835617,0.1399999999999999,3.1311154598825857,True,Bloomberg action payoff before explicit access cost,bloomberg_minute_slice
