budget,family,seed,blind_norm_cd,blind_coverage,blind_iou,anchor_norm_cd,anchor_coverage,anchor_iou,sampler_point_norm_cd,oracle_best_of_k_norm_cd,hypothesis_diversity,feasible_set_exploration,structural_mode_coverage,posterior_concentration_proxy,budget_difficulty,family_surface,family_connectivity,ambiguity_stratum,corruption_type,blind_anchor_gap_cd,blind_anchor_gap_cov,blind_anchor_gap_iou,sampler_gain,recoverability_class,early_loss_mean,early_loss_delta,early_projection_mean,early_best_cd,need_escalation,early_warning_risk,moments_correct,point_correct,moments_confidence,point_confidence,access_value_gain,components,hole_proxy,bbox_aspect_ratio,curvature_std,density_entropy,symmetry_score,budget_id,trace,det,cond,rotation_deg,downstream_fragility,transfer_drop,collapse_score,blind_success,phase_manual,phase_cluster,phase_name,phase_x,phase_y,cell_key,feasible_set_divergence,blind_search_barrier,search_reachability,task_sensitivity,internal_divergence_proxy
budget_06_thin_strip,barbell-bridge,0,0.2280463027751049,0.84375,0.1631284916201117,0.4651979542847414,0.25,0.0705128205128205,0.3056276849726439,0.2998715337963618,0.1625428643653427,0.3312714321826714,0.5,0.8499796556060385,hard,jagged,connected,high,structured_dropout,-0.2371516515096365,0.59375,0.0926156711072912,-0.0718252310212568,irreducibly ambiguous candidate,0.2728521180076163,0.3410868971207564,0.4739448081440631,0.2280463027751049,1,0.9966666666666668,1,0,0.69553345,0.75246185,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.182427492077812,4.3730158730158735,0.6138761189890525,0,irreducibly ambiguous candidate,3,decision-fragile zone,-1.7882777291722998,2.509951956762481,budget_06_thin_strip|barbell-bridge|0,0.8339575530586767,0.6890958245719434,0.3109041754280566,0.9323383084577115,0.8339575530586767
budget_06_thin_strip,barbell-bridge,1,0.2388953172422876,0.828125,0.1333333333333333,0.4779166754593049,0.296875,0.0738714090287277,0.29813695790763,0.294493398454528,0.1438590937849234,0.2385962135591283,0.3333333333333333,0.8660097656207797,hard,jagged,connected,high,clustered_occlusion,-0.2390213582170172,0.53125,0.0594619243046056,-0.0555980812122403,optimization-limited candidate,0.3102312814176426,0.4544739915863183,0.451512923341651,0.2388953172422876,1,0.9766666666666668,1,0,0.7507362,0.68153936,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.171077881280267,4.3730158730158735,0.6363183152799127,0,optimization-limited candidate,3,decision-fragile zone,-1.5708518121380195,2.6285809211970013,budget_06_thin_strip|barbell-bridge|1,0.6092384519350812,0.7954340642835686,0.20456593571643145,0.9213930348258708,0.6092384519350812
budget_06_thin_strip,barbell-bridge,2,0.1482933053327114,0.96875,0.3610354223433242,0.4477140069374147,0.296875,0.0784574468085106,0.2862454063370988,0.2711553405014839,0.1498272786907531,0.2415803060120432,0.3333333333333333,0.8608566518729646,hard,jagged,connected,high,none,-0.2994207016047033,0.671875,0.2825779755348135,-0.1228620351687724,globally hard,0.2371833948717583,0.2888638550881143,0.4136449316280925,0.1482933053327114,0,0.01,1,0,0.77145165,0.61052173,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.142134323850086,4.3730158730158735,0.7799148574996762,0,globally hard,3,decision-fragile zone,-0.248463250391577,1.5821399933005376,budget_06_thin_strip|barbell-bridge|2,0.6433624635871826,0.3385401021327725,0.6614598978672275,0.7383084577114428,0.6433624635871826
budget_06_thin_strip,barbell-bridge,3,0.2266328647967507,0.8125,0.1398773006134969,0.5026639689449749,0.25,0.0622406639004149,0.3297725988693691,0.3098112528788939,0.1296110341350672,0.1481388504008669,0.1666666666666666,0.8784370465034361,hard,jagged,connected,high,moment_preserving_perturbation,-0.2760311041482242,0.5625,0.077636636713082,-0.0831783880821431,globally hard,0.3569666330110488,0.4171106157358617,0.5067652079877706,0.2266328647967507,1,0.9933333333333332,1,0,0.5186422,0.61767024,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.1578813925505302,4.3730158730158735,0.648584785433819,0,globally hard,3,decision-fragile zone,-1.266371228912618,2.389910425216873,budget_06_thin_strip|barbell-bridge|3,0.3071161048689139,0.7194352658455991,0.28056473415440086,0.9074626865671642,0.3071161048689139
budget_06_thin_strip,crescent,0,0.1288367168648707,0.984375,0.208235294117647,0.6717012097581975,0.296875,0.0962241169305724,0.2523081134448879,0.244274301589756,0.1187304889570814,0.392698577811874,0.6666666666666666,0.888047107014635,hard,smooth,connected,high,none,-0.5428644928933268,0.6875,0.1120111771870746,-0.1154375847248853,globally hard,0.3609940660759467,0.4374840759972202,0.651944301135932,0.1288367168648707,0,0.0066666666666666,0,1,0.5755249,0.9981229,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.0940066106683715,1.5730158730158732,0.8800995398692688,0,globally hard,2,ambiguity zone,1.0605498313074806,-2.304682350020037,budget_06_thin_strip|crescent|0,0.6662505201831045,0.37218383899068785,0.6278161610093121,0.3412935323383085,0.6662505201831045
budget_06_thin_strip,crescent,1,0.2289141068331994,0.71875,0.1083333333333333,0.6290902439399516,0.34375,0.072929542645241,0.2887488715709799,0.2827560427112464,0.2035597090240885,0.1851131878453775,0.1666666666666666,0.8158214909633187,hard,smooth,connected,high,moment_preserving_perturbation,-0.4001761371067522,0.375,0.0354037906880922,-0.0538419358780469,globally hard,0.336787770147969,0.3791221926256171,0.6600221523130961,0.2289141068331994,1,0.9966666666666668,0,1,0.27172595,0.9993888,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.1815074072131455,1.5730158730158732,0.6391390626040072,0,globally hard,1,optimization-limited zone,-1.5459447158083368,-1.1990386487409392,budget_06_thin_strip|crescent|1,0.5276737411568873,0.8116551516972064,0.18834484830279363,0.6766169154228855,0.5276737411568873
budget_06_thin_strip,crescent,2,0.1015170669798954,0.921875,0.2919508867667121,0.6855292538128952,0.203125,0.0655940594059406,0.2599871054370328,0.2386374658277049,0.1270644545209648,0.230198893927149,0.3333333333333333,0.8806769071596063,hard,smooth,connected,high,structured_dropout,-0.5840121868329998,0.71875,0.2263568273607715,-0.1371203988478095,anchor-easy/blind-easy,0.3623943713351396,0.4276247024715482,0.656267879351852,0.1015170669798954,0,0.0033333333333333,0,1,0.5437567,0.9887144,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.0899678743470405,1.5730158730158732,0.8718815238263131,1,anchor-easy/blind-easy,2,ambiguity zone,1.044347161494095,-2.64648875526641,budget_06_thin_strip|crescent|2,0.4735746982937994,0.1733253229197957,0.8266746770802043,0.33432835820895523,0.4735746982937994
budget_06_thin_strip,crescent,3,0.2771348742099191,0.53125,0.1658476658476658,0.7104351286791376,0.21875,0.0804911323328785,0.3326114037543653,0.3102950131138535,0.1108669650734177,0.2221001492033755,0.3333333333333333,0.895057814959585,hard,smooth,connected,high,clustered_occlusion,-0.4333002544692185,0.3125,0.0853565335147873,-0.0331601389039343,optimization-limited candidate,0.4745123201739956,0.60970904578424,0.6605729826423614,0.2771348742099191,1,0.96,0,1,0.39947426,0.99908614,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.0924799376963766,1.5730158730158732,0.7406433795806047,0,optimization-limited candidate,1,optimization-limited zone,-0.2717201836523772,-0.9707840117695812,budget_06_thin_strip|crescent|3,0.3254265501456513,0.9176930009011713,0.08230699909882866,0.49950248756218907,0.3254265501456513
budget_06_thin_strip,cross-branch,0,0.0821805317869398,0.984375,0.5370786516853933,0.4843654547084862,0.359375,0.0639032815198618,0.2447241262936255,0.2447241262936255,0.120136905526505,0.2267351194299192,0.3333333333333333,0.8867990207192509,hard,jagged,connected,high,none,-0.4021849229215464,0.625,0.4731753701655314,-0.1625435945066857,anchor-easy/blind-easy,0.221956331243874,0.1988897275015581,0.3713727365547811,0.0821805317869398,0,0.01,1,1,0.9374237,0.56100065,-0.0464,1.0,1.0,1.0024045069907674,0.1715963011416351,1.2292899263454526,0.985285262036289,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.1020139382886742,0.4730158730158731,0.9872864043943989,1,anchor-easy/blind-easy,2,ambiguity zone,1.4601751823942108,-1.101154483914602,budget_06_thin_strip|cross-branch|0,0.4136496046608406,0.06338239711625111,0.9366176028837488,0.0,0.4136496046608406
budget_06_thin_strip,cross-branch,1,0.2439733525932634,0.796875,0.1343873517786561,0.4481744542789476,0.421875,0.0838509316770186,0.3620371094183252,0.3351067526252257,0.1263081646662343,0.3131540823331172,0.5,0.8813432060955905,hard,jagged,connected,high,moment_preserving_perturbation,-0.2042011016856842,0.375,0.0505364201016375,-0.0911334000319623,anchor-easy/blind-hard,0.2295971420538185,0.2581685827201998,0.4314467119517348,0.2439733525932634,1,0.98,1,1,0.6623531,0.48851457,-0.0464,1.0,1.0,1.0024045069907674,0.1715963011416351,1.2292899263454526,0.985285262036289,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.1557339449087166,0.4730158730158731,0.8305117551652383,0,anchor-easy/blind-hard,1,optimization-limited zone,-0.0754315295160765,0.6467011704340898,budget_06_thin_strip|cross-branch|1,0.6425301706200582,0.7918293781916491,0.2081706218083509,0.28656716417910444,0.6425301706200582
