cell_key,action_fragility,view_fragility,topology_fragility,geometry_fragility,geometry_shift,random_fragility,feasible_set_divergence,blind_search_barrier,task_sensitivity,internal_divergence_proxy,phase_name,high_action_fragility,high_topology_fragility,high_geometry_fragility,high_random_fragility
budget_06_thin_strip|barbell-bridge|0,0.2,0.0,0.4,0.4,0.6422830625647007,0.6,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,0,1,1,1
budget_06_thin_strip|barbell-bridge|1,1.0,0.0,0.4,0.4,0.6422830625647007,0.6,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,1,1,1,1
budget_06_thin_strip|barbell-bridge|2,0.2,0.0,0.4,0.4,0.6422830625647007,0.6,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,0,1,1,1
budget_06_thin_strip|barbell-bridge|3,0.2,0.0,0.4,0.4,0.6422830625647007,0.6,0.3071161048689139,0.7194352658455991,0.9074626865671642,0.3071161048689139,decision-fragile zone,0,1,1,1
budget_06_thin_strip|crescent|0,0.4,0.4,0.0,0.0,0.0028077289982173957,0.2,0.6662505201831045,0.37218383899068785,0.3412935323383085,0.6662505201831045,ambiguity zone,0,0,0,0
budget_06_thin_strip|crescent|1,0.4,0.4,0.0,0.0,0.0028077289982173957,0.2,0.5276737411568873,0.8116551516972064,0.6766169154228855,0.5276737411568873,optimization-limited zone,0,0,0,0
budget_06_thin_strip|crescent|2,0.4,0.4,0.0,0.0,0.0028077289982173957,0.2,0.4735746982937994,0.1733253229197957,0.33432835820895523,0.4735746982937994,ambiguity zone,0,0,0,0
budget_06_thin_strip|crescent|3,0.4,0.4,0.0,0.0,0.0028077289982173957,1.0,0.3254265501456513,0.9176930009011713,0.49950248756218907,0.3254265501456513,optimization-limited zone,0,0,0,1
budget_06_thin_strip|cross-branch|0,0.8,0.0,0.4,0.4,0.1988517844704769,0.2,0.4136496046608406,0.06338239711625111,0.0,0.4136496046608406,ambiguity zone,1,1,1,0
budget_06_thin_strip|cross-branch|1,0.6,0.0,0.2,0.4,0.2429323141861766,0.2,0.6425301706200582,0.7918293781916491,0.28656716417910444,0.6425301706200582,optimization-limited zone,0,0,1,0
budget_06_thin_strip|cross-branch|2,0.8,0.0,0.4,0.4,0.1988517844704769,0.2,0.6450270495214315,0.463802943826975,0.12139303482587059,0.6450270495214315,ambiguity zone,1,1,1,0
budget_06_thin_strip|cross-branch|3,1.0,0.0,0.4,0.4,0.1988517844704769,0.2,0.8064918851435705,0.9894863322319014,0.31940298507462694,0.8064918851435705,optimization-limited zone,1,1,1,0
budget_06_thin_strip|double-loop|0,0.6,0.2,0.2,0.2,0.1545804612784396,0.4,0.3703703703703704,0.9522379092820668,0.5024875621890547,0.3703703703703704,optimization-limited zone,0,0,0,0
budget_06_thin_strip|double-loop|1,0.8,0.2,0.2,0.2,0.1545804612784396,0.8,0.55264253017062,0.11414839291078402,0.2696517412935324,0.55264253017062,ambiguity zone,1,0,0,1
budget_06_thin_strip|double-loop|2,0.6,0.2,0.2,0.2,0.1545804612784396,0.8,0.3603828547648772,0.9693601682186842,0.5044776119402984,0.3603828547648772,optimization-limited zone,0,0,0,1
budget_06_thin_strip|double-loop|3,0.8,0.2,0.2,0.2,0.1545804612784396,0.4,0.2704952143154391,0.2550315410033042,0.2845771144278607,0.2704952143154391,ambiguity zone,1,0,0,0
budget_06_thin_strip|mean-reversion|0,0.8,0.2,0.0,0.4,0.27044208618586857,0.8,0.4760715771951727,0.15500150195253828,0.2338308457711442,0.4760715771951727,effective-collapse zone,1,0,1,1
budget_06_thin_strip|mean-reversion|1,0.6,0.2,0.0,0.4,0.27044208618586857,0.4,0.5110278818143986,0.8606188044457794,0.417910447761194,0.5110278818143986,optimization-limited zone,0,0,1,0
budget_06_thin_strip|mean-reversion|2,0.8,0.2,0.0,0.4,0.27044208618586857,0.4,0.45776113191843526,0.313307299489336,0.2736318407960199,0.45776113191843526,effective-collapse zone,1,0,1,0
budget_06_thin_strip|mean-reversion|3,0.6,0.2,0.0,0.4,0.27044208618586857,0.4,0.6933000416146483,0.7738059477320516,0.45472636815920403,0.6933000416146483,optimization-limited zone,0,0,1,0
budget_06_thin_strip|multi-hole|0,0.6,0.6,0.0,0.4,0.4374295058005355,0.4,0.531002913025385,0.41123460498648234,0.3442786069651742,0.531002913025385,effective-collapse zone,0,0,1,0
budget_06_thin_strip|multi-hole|1,0.2,0.2,0.0,0.0,0.14428642845003709,0.6,0.00832292967124427,1.0,0.44975124378109455,0.00832292967124427,optimization-limited zone,0,0,0,1
budget_06_thin_strip|multi-hole|2,0.2,0.2,0.0,0.0,0.14428642845003709,0.6,0.4486059092800666,0.5611294683088014,0.3213930348258708,0.4486059092800666,effective-collapse zone,0,0,0,1
budget_06_thin_strip|multi-hole|3,0.2,0.2,0.0,0.0,0.14428642845003709,0.6,0.5925925925925926,0.9113848002403123,0.5671641791044776,0.5925925925925926,optimization-limited zone,0,0,0,1
budget_06_thin_strip|nested-rings|0,0.4,0.4,0.0,0.0,0.19478610454870324,0.4,0.45859342488555976,0.17302493241213573,0.4049751243781095,0.45859342488555976,effective-collapse zone,0,0,0,0
budget_06_thin_strip|nested-rings|1,0.4,0.4,0.0,0.0,0.19478610454870324,0.4,0.5884311277569705,0.8233703814959447,0.5950248756218904,0.5884311277569705,optimization-limited zone,0,0,0,0
