representation,query_index,neighbor_rank,distance,query_budget,query_family,query_seed,neighbor_budget,neighbor_family,neighbor_seed,action_disagree,view_disagree,family_disagree,phase_disagree,query_key,neighbor_key,q_topology_code,q_geometry_score,q_random_label,q_feasible_set_divergence,q_blind_search_barrier,q_task_sensitivity,q_internal_divergence_proxy,q_phase_name,n_topology_code,n_geometry_score,n_random_label,n_feasible_set_divergence,n_blind_search_barrier,n_task_sensitivity,n_internal_divergence_proxy,n_phase_name,topology_disagree,geometry_distance,geometry_fragile,random_disagree
Base summary,0,1,3.8220929361664615e-08,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,barbell-bridge,3,0.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|barbell-bridge|3,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,1_1,1.37352009580138,0,0.3071161048689139,0.7194352658455991,0.9074626865671642,0.3071161048689139,decision-fragile zone,0.0,0.0,0.0,0.0
Base summary,0,2,7.56979790525003e-08,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,barbell-bridge,1,1.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|barbell-bridge|1,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,0.0,0.0,0.0,1.0
Base summary,0,3,8.747398515793983e-08,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,barbell-bridge,2,0.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|barbell-bridge|2,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,0.0,0.0,0.0,1.0
Base summary,0,4,3.9502519276787013e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,mean-reversion,2,0.0,0.0,1.0,0.0,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|mean-reversion|2,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,1_0,-0.2321875606103716,0,0.45776113191843526,0.313307299489336,0.2736318407960199,0.45776113191843526,effective-collapse zone,1.0,1.6057076564117516,1.0,0.0
Base summary,0,5,3.9661710978175673e-07,budget_06_thin_strip,barbell-bridge,0,budget_06_thin_strip,mean-reversion,0,0.0,0.0,1.0,0.0,budget_06_thin_strip|barbell-bridge|0,budget_06_thin_strip|mean-reversion|0,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,1_0,-0.2321875606103716,1,0.4760715771951727,0.15500150195253828,0.2338308457711442,0.4760715771951727,effective-collapse zone,1.0,1.6057076564117516,1.0,1.0
Base summary,1,1,1.322804775775815e-08,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,barbell-bridge,2,1.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|barbell-bridge|2,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,0.0,0.0,0.0,0.0
Base summary,1,2,4.138179497318262e-08,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,barbell-bridge,3,1.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|barbell-bridge|3,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,1_1,1.37352009580138,0,0.3071161048689139,0.7194352658455991,0.9074626865671642,0.3071161048689139,decision-fragile zone,0.0,0.0,0.0,1.0
Base summary,1,3,7.56979790525003e-08,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,barbell-bridge,0,1.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|barbell-bridge|0,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,0.0,0.0,0.0,1.0
Base summary,1,4,3.209251837983361e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,mean-reversion,2,1.0,0.0,1.0,0.0,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|mean-reversion|2,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,1_0,-0.2321875606103716,0,0.45776113191843526,0.313307299489336,0.2736318407960199,0.45776113191843526,effective-collapse zone,1.0,1.6057076564117516,1.0,1.0
Base summary,1,5,3.224364007835239e-07,budget_06_thin_strip,barbell-bridge,1,budget_06_thin_strip,mean-reversion,0,1.0,0.0,1.0,0.0,budget_06_thin_strip|barbell-bridge|1,budget_06_thin_strip|mean-reversion|0,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,1_0,-0.2321875606103716,1,0.4760715771951727,0.15500150195253828,0.2338308457711442,0.4760715771951727,effective-collapse zone,1.0,1.6057076564117516,1.0,0.0
Base summary,2,1,1.322804775775815e-08,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,barbell-bridge,1,1.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|barbell-bridge|1,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,0.0,0.0,0.0,0.0
Base summary,2,2,5.3328747881211874e-08,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,barbell-bridge,3,0.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|barbell-bridge|3,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,1_1,1.37352009580138,0,0.3071161048689139,0.7194352658455991,0.9074626865671642,0.3071161048689139,decision-fragile zone,0.0,0.0,0.0,1.0
Base summary,2,3,8.747398515793983e-08,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,barbell-bridge,0,0.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|barbell-bridge|0,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,0.0,0.0,0.0,1.0
Base summary,2,4,3.089716327043737e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,mean-reversion,2,0.0,0.0,1.0,0.0,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|mean-reversion|2,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,1_0,-0.2321875606103716,0,0.45776113191843526,0.313307299489336,0.2736318407960199,0.45776113191843526,effective-collapse zone,1.0,1.6057076564117516,1.0,1.0
Base summary,2,5,3.105356763121899e-07,budget_06_thin_strip,barbell-bridge,2,budget_06_thin_strip,mean-reversion,0,0.0,0.0,1.0,0.0,budget_06_thin_strip|barbell-bridge|2,budget_06_thin_strip|mean-reversion|0,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,1_0,-0.2321875606103716,1,0.4760715771951727,0.15500150195253828,0.2338308457711442,0.4760715771951727,effective-collapse zone,1.0,1.6057076564117516,1.0,0.0
Base summary,3,1,3.8220929361664615e-08,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,barbell-bridge,0,0.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|barbell-bridge|0,1_1,1.37352009580138,0,0.3071161048689139,0.7194352658455991,0.9074626865671642,0.3071161048689139,decision-fragile zone,1_1,1.37352009580138,0,0.8339575530586767,0.6890958245719434,0.9323383084577115,0.8339575530586767,decision-fragile zone,0.0,0.0,0.0,0.0
Base summary,3,2,4.138179497318262e-08,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,barbell-bridge,1,1.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|barbell-bridge|1,1_1,1.37352009580138,0,0.3071161048689139,0.7194352658455991,0.9074626865671642,0.3071161048689139,decision-fragile zone,1_1,1.37352009580138,1,0.6092384519350812,0.7954340642835686,0.9213930348258708,0.6092384519350812,decision-fragile zone,0.0,0.0,0.0,1.0
Base summary,3,3,5.3328747881211874e-08,budget_06_thin_strip,barbell-bridge,3,budget_06_thin_strip,barbell-bridge,2,0.0,0.0,0.0,0.0,budget_06_thin_strip|barbell-bridge|3,budget_06_thin_strip|barbell-bridge|2,1_1,1.37352009580138,0,0.3071161048689139,0.7194352658455991,0.9074626865671642,0.3071161048689139,decision-fragile zone,1_1,1.37352009580138,1,0.6433624635871826,0.3385401021327725,0.7383084577114428,0.6433624635871826,decision-fragile zone,0.0,0.0,0.0,1.0
