dim,kind,seed,target_mean_linf,target_cov_linf,gaussian_mean_linf,gaussian_cov_linf,gaussian_norm_cd,gaussian_mmd,best_view,best_utility,point_gain_vs_summary,richest_is_best,nonmonotone_best_view,summary_correct,summary_utility,coarse_sketch_correct,coarse_sketch_utility,higher_order_correct,higher_order_utility,point_correct,point_utility
2,two_cluster,20262517,3.3306690738754695e-17,4.440892098500626e-16,4.163336342344337e-18,2.220446049250313e-16,0.09996116565168824,0.005266406049303951,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262518,4.0245584642661923e-17,4.440892098500626e-16,3.2959746043559335e-17,4.440892098500626e-16,0.10454536582222766,0.003673440904961467,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262519,2.3592239273284576e-17,1.4099832412739487e-15,1.9428902930940238e-17,6.661338147750939e-16,0.07102557871137805,0.003020520064534127,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262520,8.326672684688674e-18,3.3306690738754696e-16,2.4980018054066023e-17,8.881784197001252e-16,0.11567314099224608,0.00383340694408818,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262521,2.2204460492503132e-17,1.457167719820518e-15,4.649058915617843e-17,4.440892098500626e-16,0.1010993928995886,0.005642248935039396,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262522,1.8041124150158794e-17,1.3211653993039363e-15,1.9428902930940238e-17,8.881784197001252e-16,0.06889722314249483,0.005230366084849392,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262523,3.191891195797325e-17,1.4932499681208355e-15,5.898059818321144e-18,2.220446049250313e-16,0.10563760689916207,0.006698693889807705,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262524,3.191891195797325e-17,1.3322676295501878e-15,3.331753276047955e-17,1.1102230246251565e-15,0.10695303543632398,0.0052832173978130115,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262525,4.093947403305265e-17,3.3306690738754696e-16,1.8735013540549518e-17,4.440892098500626e-16,0.10703290616478434,0.004862277928801451,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
2,two_cluster,20262526,5.4817261840867107e-17,6.661338147750939e-16,6.245004513516506e-18,6.661338147750939e-16,0.10396133244280614,0.007103414796110874,summary,1.0,-0.58,0.0,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
