dim,kind,seed,n_points
2,two_cluster,20262517,160
2,two_cluster,20262518,160
2,two_cluster,20262519,160
2,two_cluster,20262520,160
2,two_cluster,20262521,160
2,two_cluster,20262522,160
2,two_cluster,20262523,160
2,two_cluster,20262524,160
2,two_cluster,20262525,160
2,two_cluster,20262526,160
2,two_cluster,20262527,160
2,two_cluster,20262528,160
2,two_cluster,20262529,160
2,two_cluster,20262530,160
2,two_cluster,20262531,160
2,two_cluster,20262532,160
2,four_cluster,20262618,160
2,four_cluster,20262619,160
2,four_cluster,20262620,160
2,four_cluster,20262621,160
2,four_cluster,20262622,160
2,four_cluster,20262623,160
2,four_cluster,20262624,160
2,four_cluster,20262625,160
2,four_cluster,20262626,160
2,four_cluster,20262627,160
2,four_cluster,20262628,160
2,four_cluster,20262629,160
2,four_cluster,20262630,160
2,four_cluster,20262631,160
2,four_cluster,20262632,160
2,four_cluster,20262633,160
2,ring,20262719,160
2,ring,20262720,160
2,ring,20262721,160
2,ring,20262722,160
2,ring,20262723,160
2,ring,20262724,160
2,ring,20262725,160
2,ring,20262726,160
2,ring,20262727,160
2,ring,20262728,160
2,ring,20262729,160
2,ring,20262730,160
2,ring,20262731,160
2,ring,20262732,160
2,ring,20262733,160
2,ring,20262734,160
2,sparse_blocks,20262820,160
2,sparse_blocks,20262821,160
2,sparse_blocks,20262822,160
2,sparse_blocks,20262823,160
2,sparse_blocks,20262824,160
2,sparse_blocks,20262825,160
2,sparse_blocks,20262826,160
2,sparse_blocks,20262827,160
2,sparse_blocks,20262828,160
2,sparse_blocks,20262829,160
2,sparse_blocks,20262830,160
2,sparse_blocks,20262831,160
2,sparse_blocks,20262832,160
2,sparse_blocks,20262833,160
2,sparse_blocks,20262834,160
2,sparse_blocks,20262835,160
10,two_cluster,20270517,160
10,two_cluster,20270518,160
10,two_cluster,20270519,160
10,two_cluster,20270520,160
10,two_cluster,20270521,160
10,two_cluster,20270522,160
10,two_cluster,20270523,160
10,two_cluster,20270524,160
10,two_cluster,20270525,160
10,two_cluster,20270526,160
10,two_cluster,20270527,160
10,two_cluster,20270528,160
10,two_cluster,20270529,160
10,two_cluster,20270530,160
10,two_cluster,20270531,160
10,two_cluster,20270532,160
10,four_cluster,20270618,160
10,four_cluster,20270619,160
10,four_cluster,20270620,160
10,four_cluster,20270621,160
10,four_cluster,20270622,160
10,four_cluster,20270623,160
10,four_cluster,20270624,160
10,four_cluster,20270625,160
10,four_cluster,20270626,160
10,four_cluster,20270627,160
10,four_cluster,20270628,160
10,four_cluster,20270629,160
10,four_cluster,20270630,160
10,four_cluster,20270631,160
10,four_cluster,20270632,160
10,four_cluster,20270633,160
10,ring,20270719,160
10,ring,20270720,160
10,ring,20270721,160
10,ring,20270722,160
10,ring,20270723,160
10,ring,20270724,160
10,ring,20270725,160
10,ring,20270726,160
10,ring,20270727,160
10,ring,20270728,160
10,ring,20270729,160
10,ring,20270730,160
10,ring,20270731,160
10,ring,20270732,160
10,ring,20270733,160
10,ring,20270734,160
10,sparse_blocks,20270820,160
10,sparse_blocks,20270821,160
10,sparse_blocks,20270822,160
10,sparse_blocks,20270823,160
10,sparse_blocks,20270824,160
10,sparse_blocks,20270825,160
10,sparse_blocks,20270826,160
10,sparse_blocks,20270827,160
10,sparse_blocks,20270828,160
10,sparse_blocks,20270829,160
10,sparse_blocks,20270830,160
10,sparse_blocks,20270831,160
10,sparse_blocks,20270832,160
10,sparse_blocks,20270833,160
10,sparse_blocks,20270834,160
10,sparse_blocks,20270835,160
50,two_cluster,20310517,160
