case,ambient_dim,intrinsic_dim,n_points,cells,max_mean_err,max_cov_err,gaussian_proxy_cd,gaussian_proxy_mmd,summary_correct,local_graph_correct,higher_order_correct,point_correct,non_richest_best,local_graph_best,summary_best
lowrank_manifold,50,2,96,40,4.5102810375396984e-17,0.0,0.1370550075209211,0.005103129214254909,0.25,1.0,1.0,1.0,1.0,0.75,0.25
lowrank_manifold,50,2,192,40,3.0357660829594124e-17,0.0,0.12906132175831816,0.007114203372662326,0.25,1.0,1.0,1.0,1.0,0.75,0.25
lowrank_manifold,50,8,96,40,7.574959178432057e-17,0.0,0.492925960085829,0.0006015907464840431,0.25,0.825,0.75,0.85,0.925,0.575,0.35
lowrank_manifold,50,8,192,40,5.898059818321144e-17,0.0,0.46744889585038063,0.0022520008099867206,0.25,0.75,0.675,0.875,0.775,0.5,0.275
lowrank_manifold,50,16,96,40,7.748431526029738e-17,0.0,0.7997776801137125,0.00041908122542471673,0.25,0.45,0.45,0.775,0.6,0.2,0.35
lowrank_manifold,50,16,192,40,9.222946480610024e-17,0.0,0.7762334688549608,0.00228331467249977,0.25,0.6,0.625,0.675,0.775,0.35,0.35
lowrank_manifold,128,2,96,40,2.6599093298311043e-17,0.0,0.1426910703578396,0.005865987840233044,0.25,1.0,1.0,1.0,1.0,0.75,0.25
lowrank_manifold,128,2,192,40,2.0816681711721685e-17,0.0,0.13268615552206686,0.007453359282199807,0.25,1.0,1.0,1.0,1.0,0.75,0.25
lowrank_manifold,128,8,96,40,5.92697187625409e-17,0.0,0.493842376805238,0.0005766171813787468,0.25,0.725,0.6,0.8,0.85,0.475,0.35
lowrank_manifold,128,8,192,40,3.2440232502576695e-17,0.0,0.4684567798748828,0.002527435210235701,0.25,0.6,0.6,0.825,0.775,0.35,0.375
lowrank_manifold,128,16,96,40,6.129356281784719e-17,0.0,0.7985123537502063,0.0004185438634074057,0.25,0.5,0.45,0.775,0.625,0.25,0.375
lowrank_manifold,128,16,192,40,5.0162420513662674e-17,0.0,0.7763358323045544,0.0024378921126863517,0.25,0.625,0.6,0.65,0.85,0.375,0.425
