probe_cell_id,budget,family,seed,phase_name,phase_requested_n,phase_selected_n,blind_norm_cd,blind_iou,collapse_score,access_value_gain
protocol_b:budget_06_thin_strip:multi-hole:seed3:n64,budget_06_thin_strip,multi-hole,3,optimization-limited zone,10,10,0.2484461480972966,0.1324503311258278,0.7741065975923758,0.9536
protocol_b:budget_10_extreme:crescent:seed3:n64,budget_10_extreme,crescent,3,optimization-limited zone,10,10,0.2803848984483627,0.191740412979351,0.7350415192071988,0.9536
protocol_b:budget_10_extreme:cross-branch:seed3:n64,budget_10_extreme,cross-branch,3,optimization-limited zone,10,10,0.3194172720183011,0.1288014311270125,0.8675964120730004,-0.0464
protocol_b:budget_10_extreme:multi-hole:seed3:n64,budget_10_extreme,multi-hole,3,optimization-limited zone,10,10,0.2388538337049444,0.1766561514195583,0.8059340598446504,0.9536
protocol_b:budget_10_extreme:volatility-clustering:seed0:n64,budget_10_extreme,volatility-clustering,0,optimization-limited zone,10,10,0.2240594914457539,0.1577698695136417,0.7506645401839088,-0.0464
protocol_b:budget_15_vertical_strip:spiral:seed3:n64,budget_15_vertical_strip,spiral,3,optimization-limited zone,10,10,0.249496828748251,0.1396011396011396,0.7267030522886652,-0.0464
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed0:n64,budget_17_high_rot_aniso,volatility-clustering,0,optimization-limited zone,10,10,0.2412981471243525,0.1812933025404157,0.6851090991135088,-0.0464
protocol_b:budget_18_neg_diag_extreme:cross-branch:seed3:n64,budget_18_neg_diag_extreme,cross-branch,3,optimization-limited zone,10,10,0.2463943540445344,0.2238532110091743,0.8428048241597739,-0.0464
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed3:n64,budget_22_broad_high_cond,barbell-bridge,3,optimization-limited zone,10,10,0.225611105895981,0.1842818428184282,0.6381249523734918,0.9536
protocol_b:budget_23_small_high_cond:pinwheel:seed3:n64,budget_23_small_high_cond,pinwheel,3,optimization-limited zone,10,10,0.2339883367095245,0.1619170984455958,0.7780370557267362,-0.0464
protocol_b:budget_06_thin_strip:pinwheel:seed2:n64,budget_06_thin_strip,pinwheel,2,effective-collapse zone,10,10,0.2076046436807694,0.1516164994425864,0.9021777947210248,-0.0464
protocol_b:budget_10_extreme:multi-hole:seed0:n64,budget_10_extreme,multi-hole,0,effective-collapse zone,10,10,0.1212706316487501,0.2666666666666666,0.9490547932503978,0.9536
protocol_b:budget_10_extreme:nested-rings:seed2:n64,budget_10_extreme,nested-rings,2,effective-collapse zone,10,10,0.1178383210546054,0.287431693989071,0.9718972910761298,-0.0464
protocol_b:budget_10_extreme:nested-rings:seed3:n64,budget_10_extreme,nested-rings,3,effective-collapse zone,10,10,0.209109516268684,0.1848837209302325,0.9432058014663556,-0.0464
protocol_b:budget_10_extreme:pinwheel:seed2:n64,budget_10_extreme,pinwheel,2,effective-collapse zone,10,10,0.203386699835936,0.1830635118306351,0.9418415630119872,0.9536
protocol_b:budget_10_extreme:spiral:seed0:n64,budget_10_extreme,spiral,0,effective-collapse zone,10,10,0.1202336897279046,0.2709113607990012,0.9327838377963704,-0.0464
protocol_b:budget_17_high_rot_aniso:pinwheel:seed0:n64,budget_17_high_rot_aniso,pinwheel,0,effective-collapse zone,10,10,0.1796645106802251,0.1595022624434389,0.92382379325347,0.9536
protocol_b:budget_18_neg_diag_extreme:volatility-clustering:seed1:n64,budget_18_neg_diag_extreme,volatility-clustering,1,effective-collapse zone,10,10,0.1520615307931505,0.4072900158478605,0.9303688538980588,-0.0464
protocol_b:budget_24_rotated_slender:pinwheel:seed0:n64,budget_24_rotated_slender,pinwheel,0,effective-collapse zone,10,10,0.1653764117478178,0.2122641509433962,0.927926189375658,-0.0464
protocol_b:budget_24_rotated_slender:pinwheel:seed2:n64,budget_24_rotated_slender,pinwheel,2,effective-collapse zone,10,10,0.18483596841835,0.1415628539071347,0.9321287622010872,0.9536
protocol_b:budget_10_extreme:crescent:seed0:n64,budget_10_extreme,crescent,0,ambiguity zone,10,10,0.113978671974225,0.2570224719101123,0.8499965528251427,0.9536
protocol_b:budget_17_high_rot_aniso:double-loop:seed1:n64,budget_17_high_rot_aniso,double-loop,1,ambiguity zone,10,10,0.0875197029798099,0.2850082372322899,0.8708522551097759,-0.0464
protocol_b:budget_17_high_rot_aniso:double-loop:seed3:n64,budget_17_high_rot_aniso,double-loop,3,ambiguity zone,10,10,0.1161988884433857,0.2411873840445269,0.8878024546644365,-0.0464
protocol_b:budget_17_high_rot_aniso:mean-reversion:seed2:n64,budget_17_high_rot_aniso,mean-reversion,2,ambiguity zone,10,10,0.1917993541369574,0.2054120541205412,0.8701005100022607,-0.0464
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed3:n64,budget_17_high_rot_aniso,volatility-clustering,3,ambiguity zone,10,10,0.1865624653831864,0.2758186397984886,0.8775479111721953,0.9536
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed2:n64,budget_22_broad_high_cond,barbell-bridge,2,ambiguity zone,10,10,0.1502462630508089,0.3571428571428571,0.7551418330341424,0.9536
protocol_b:budget_22_broad_high_cond:double-loop:seed3:n64,budget_22_broad_high_cond,double-loop,3,ambiguity zone,10,10,0.1064422935873756,0.24408014571949,0.9107201445831058,-0.0464
