probe_cell_id,budget,family,seed,phase_name,method,valid_output,runtime_s,proxy_score,selected_alpha,norm_cd,iou,coverage,mean_linf_error,cov_linf_error,cov_fro_error,normalized_violation_severity,budget_violation
protocol_b:budget_06_thin_strip:multi-hole:seed3:n64,budget_06_thin_strip,multi-hole,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.05113120000169147,0.47022681827045476,0.35,0.33055695407044944,0.10029498525073746,0.4375,4.2500725161431774e-17,2.220446049250313e-16,3.5760557644884744e-16,2.220446049250313e-14,0
protocol_b:budget_10_extreme:crescent:seed3:n64,budget_10_extreme,crescent,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.04705680000188295,0.5240904967857439,0.15,0.375653678706596,0.06806282722513089,0.390625,9.020562075079397e-17,2.220446049250313e-15,2.419674984566563e-15,2.220446049250313e-13,0
protocol_b:budget_10_extreme:cross-branch:seed3:n64,budget_10_extreme,cross-branch,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.027884900002391078,0.5077738557175292,0.55,0.29871840917341774,0.14285714285714285,0.53125,3.469446951953614e-17,5.551115123125783e-16,9.485749680535094e-16,5.551115123125783e-14,0
protocol_b:budget_10_extreme:multi-hole:seed3:n64,budget_10_extreme,multi-hole,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.051995999994687736,0.4583708047333277,0.55,0.3333877437868161,0.15171650055370986,0.421875,1.3877787807814457e-17,1.3322676295501878e-15,1.4895204919483639e-15,1.3322676295501878e-13,0
protocol_b:budget_10_extreme:volatility-clustering:seed0:n64,budget_10_extreme,volatility-clustering,0,optimization-limited zone,3-component GMM prior + exact projection,1,0.025216599999112077,0.3861414325504216,0.35,0.2493711869579534,0.11994949494949494,0.734375,2.7755575615628914e-17,3.552713678800501e-15,4.82787474557409e-15,3.552713678800501e-13,0
protocol_b:budget_15_vertical_strip:spiral:seed3:n64,budget_15_vertical_strip,spiral,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.019625899993116036,0.5258589046479676,0.35,0.293345607850344,0.09572301425661914,0.59375,4.2500725161431774e-17,4.440892098500626e-16,4.598562485024101e-16,4.440892098500626e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed0:n64,budget_17_high_rot_aniso,volatility-clustering,0,optimization-limited zone,3-component GMM prior + exact projection,1,0.020901399999274872,0.5288599897128412,0.35,0.2953347549846535,0.12131147540983607,0.765625,2.7755575615628914e-17,4.440892098500626e-16,5.74211813252823e-16,4.440892098500626e-14,0
protocol_b:budget_18_neg_diag_extreme:cross-branch:seed3:n64,budget_18_neg_diag_extreme,cross-branch,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.02323920000344515,0.5032972913344974,0.15,0.3700044781139325,0.09752066115702479,0.46875,3.642919299551295e-17,1.5543122344752192e-15,1.7342238036525468e-15,1.5543122344752192e-13,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed3:n64,budget_22_broad_high_cond,barbell-bridge,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.021258499997202307,0.43894537972720604,0.35,0.29133194930565864,0.10445859872611465,0.609375,9.020562075079397e-17,5.551115123125783e-16,7.152111528976949e-16,5.551115123125783e-14,0
protocol_b:budget_23_small_high_cond:pinwheel:seed3:n64,budget_23_small_high_cond,pinwheel,3,optimization-limited zone,3-component GMM prior + exact projection,1,0.018826700004865415,0.5015437988208625,0.55,0.26182829897730475,0.11953727506426735,0.71875,3.0249240612345574e-17,3.885780586188048e-16,5.3533015581491455e-16,3.885780586188048e-14,0
protocol_b:budget_06_thin_strip:pinwheel:seed2:n64,budget_06_thin_strip,pinwheel,2,effective-collapse zone,3-component GMM prior + exact projection,1,0.02664820000063628,0.5184099331229027,0.35,0.2590893317178348,0.12719298245614036,0.828125,4.90059381963448e-17,1.3322676295501878e-15,1.344928772749134e-15,1.3322676295501878e-13,0
protocol_b:budget_10_extreme:multi-hole:seed0:n64,budget_10_extreme,multi-hole,0,effective-collapse zone,3-component GMM prior + exact projection,1,0.02031870000064373,0.5027086112319232,0.35,0.31132220351949486,0.13956043956043956,0.546875,2.862293735361732e-17,1.1102230246251565e-15,1.6910413304902302e-15,1.1102230246251565e-13,0
protocol_b:budget_10_extreme:nested-rings:seed2:n64,budget_10_extreme,nested-rings,2,effective-collapse zone,3-component GMM prior + exact projection,1,0.020151599994278513,0.49458265118346617,0.15,0.33068257913834564,0.13806451612903226,0.421875,5.551115123125783e-17,2.220446049250313e-16,3.1401849173675503e-16,2.220446049250313e-14,0
protocol_b:budget_10_extreme:nested-rings:seed3:n64,budget_10_extreme,nested-rings,3,effective-collapse zone,3-component GMM prior + exact projection,1,0.02071260000229813,0.5217657797956615,0.35,0.3237641448412084,0.11619718309859155,0.5,4.163336342344337e-17,1.1102230246251565e-15,1.3642648929939613e-15,1.1102230246251565e-13,0
protocol_b:budget_10_extreme:pinwheel:seed2:n64,budget_10_extreme,pinwheel,2,effective-collapse zone,3-component GMM prior + exact projection,1,0.02161720000731293,0.5697274576676141,0.55,0.2942017103635726,0.13349514563106796,0.71875,3.447762908503904e-17,6.661338147750939e-16,1.121270291988505e-15,6.661338147750939e-14,0
protocol_b:budget_10_extreme:spiral:seed0:n64,budget_10_extreme,spiral,0,effective-collapse zone,3-component GMM prior + exact projection,1,0.02365770000324119,0.5571753821079103,0.55,0.3306546893846328,0.1360381861575179,0.375,1.6263032587282567e-17,1.5543122344752192e-15,2.7307875685720004e-15,1.5543122344752192e-13,0
protocol_b:budget_17_high_rot_aniso:pinwheel:seed0:n64,budget_17_high_rot_aniso,pinwheel,0,effective-collapse zone,3-component GMM prior + exact projection,1,0.018737999998847954,0.5175188522334205,0.35,0.2936062446641565,0.1136094674556213,0.703125,3.9898639947466563e-17,1.5543122344752192e-15,1.6523311681268211e-15,1.5543122344752192e-13,0
protocol_b:budget_18_neg_diag_extreme:volatility-clustering:seed1:n64,budget_18_neg_diag_extreme,volatility-clustering,1,effective-collapse zone,3-component GMM prior + exact projection,1,0.023649000009754673,0.5215644856701688,0.35,0.2628144890435029,0.08951406649616368,0.703125,5.2475385148298415e-17,3.3306690738754696e-16,5.20740757162067e-16,3.3306690738754696e-14,0
protocol_b:budget_24_rotated_slender:pinwheel:seed0:n64,budget_24_rotated_slender,pinwheel,0,effective-collapse zone,3-component GMM prior + exact projection,1,0.021552299993345514,0.47647437787950325,0.35,0.2658839635949435,0.12157330154946365,0.71875,4.174178364069192e-18,6.661338147750939e-16,6.753223014464259e-16,6.661338147750939e-14,0
protocol_b:budget_24_rotated_slender:pinwheel:seed2:n64,budget_24_rotated_slender,pinwheel,2,effective-collapse zone,3-component GMM prior + exact projection,1,0.018826800005626865,0.49777006209519464,0.55,0.24385127130292297,0.1214622641509434,0.765625,1.5504091066542713e-17,6.661338147750939e-16,7.488863730937846e-16,6.661338147750939e-14,0
protocol_b:budget_10_extreme:crescent:seed0:n64,budget_10_extreme,crescent,0,ambiguity zone,3-component GMM prior + exact projection,1,0.02162339999631513,0.4952510837224118,0.15,0.3166603921429643,0.12226512226512226,0.453125,4.380176776841438e-17,8.881784197001252e-16,9.28879225241625e-16,8.881784197001252e-14,0
protocol_b:budget_17_high_rot_aniso:double-loop:seed1:n64,budget_17_high_rot_aniso,double-loop,1,ambiguity zone,3-component GMM prior + exact projection,1,0.021208900012425147,0.4997978138280646,0.35,0.3392702334606499,0.06284153005464481,0.453125,2.42861286636753e-17,8.881784197001252e-16,1.1226435567921847e-15,8.881784197001252e-14,0
protocol_b:budget_17_high_rot_aniso:double-loop:seed3:n64,budget_17_high_rot_aniso,double-loop,3,ambiguity zone,3-component GMM prior + exact projection,1,0.023171099994215183,0.4620573802559332,0.55,0.3572625406738968,0.06623376623376623,0.484375,2.3418766925686896e-17,2.4424906541753444e-15,2.5133742693021536e-15,2.4424906541753444e-13,0
protocol_b:budget_17_high_rot_aniso:mean-reversion:seed2:n64,budget_17_high_rot_aniso,mean-reversion,2,ambiguity zone,3-component GMM prior + exact projection,1,0.022855499992147088,0.43846305887679676,0.55,0.2866305623351696,0.09735576923076923,0.671875,5.377642775528102e-17,6.661338147750939e-16,6.707437923744493e-16,6.661338147750939e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed3:n64,budget_17_high_rot_aniso,volatility-clustering,3,ambiguity zone,3-component GMM prior + exact projection,1,0.02479529999254737,0.5186196404817062,0.35,0.28482157007650943,0.10790598290598291,0.765625,6.071532165918825e-17,4.440892098500626e-16,5.20740757162067e-16,4.440892098500626e-14,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed2:n64,budget_22_broad_high_cond,barbell-bridge,2,ambiguity zone,3-component GMM prior + exact projection,1,0.03576269999030046,0.5127548937452439,0.15,0.33557915378518777,0.09416445623342175,0.546875,5.551115123125783e-17,8.881784197001252e-16,9.019494489765868e-16,8.881784197001252e-14,0
protocol_b:budget_22_broad_high_cond:double-loop:seed3:n64,budget_22_broad_high_cond,double-loop,3,ambiguity zone,3-component GMM prior + exact projection,1,0.025179800009937026,0.5078212397867561,0.35,0.3548004148571073,0.06769230769230769,0.3125,5.204170427930421e-17,8.881784197001252e-16,8.916411167297361e-16,8.881784197001252e-14,0
protocol_b:budget_24_rotated_slender:double-loop:seed0:n64,budget_24_rotated_slender,double-loop,0,ambiguity zone,3-component GMM prior + exact projection,1,0.022761400003219023,0.5035243510855374,0.35,0.28375834947957895,0.058503401360544216,0.53125,3.469446951953614e-18,6.661338147750939e-16,6.933340566559918e-16,6.661338147750939e-14,0
protocol_b:budget_24_rotated_slender:double-loop:seed1:n64,budget_24_rotated_slender,double-loop,1,ambiguity zone,3-component GMM prior + exact projection,1,0.02154599998902995,0.5011549694125832,0.15,0.3429479024573214,0.06529209621993128,0.40625,1.6046192152785466e-17,1.1102230246251565e-15,1.1267533089989422e-15,1.1102230246251565e-13,0
protocol_b:budget_24_rotated_slender:mean-reversion:seed2:n64,budget_24_rotated_slender,mean-reversion,2,ambiguity zone,3-component GMM prior + exact projection,1,0.030694100001710467,0.5518096872196341,0.35,0.2991862925781603,0.10199004975124377,0.59375,3.642919299551295e-17,1.9984014443252818e-15,2.0800021699679753e-15,1.9984014443252818e-13,0
protocol_b:budget_06_thin_strip:mean-reversion:seed0:n64,budget_06_thin_strip,mean-reversion,0,decision-fragile zone,3-component GMM prior + exact projection,1,0.020775500001036562,0.4403615113237043,0.35,0.312350104442163,0.07665505226480836,0.578125,2.2551405187698492e-17,1.5543122344752192e-15,1.5562935128250673e-15,1.5543122344752192e-13,0
