dataset,cluster_id,n,mean_centroid_similarity,radius,radius_std,label_entropy,majority_share
cora,0,8,0.6041015982627869,0.3958984315395355,0.06737038493156433,2.499999999991344,0.25
cora,1,61,0.5737293362617493,0.42627066373825073,0.08095154166221619,1.9971752067225572,0.5737704918032787
cora,2,64,0.5593141317367554,0.44068586826324463,0.11180783808231354,1.3848740235262365,0.71875
cora,3,160,0.5606387257575989,0.4393612742424011,0.07596892863512039,1.1532419524030504,0.78125
cora,4,38,0.518997848033905,0.4810020923614502,0.07984068989753723,1.9177822942976297,0.4473684210526316
cora,5,3,0.7713444828987122,0.22865544259548187,0.05721030384302139,1.584962500716828,0.3333333333333333
cora,6,24,0.5569433569908142,0.4430566728115082,0.06929164379835129,2.4481203125800457,0.375
cora,7,39,0.5492793917655945,0.4507206082344055,0.07581230998039246,1.7448467301085246,0.5641025641025641
cora,8,48,0.4970628321170807,0.5029371380805969,0.07547804713249207,2.2281426871380723,0.3125
cora,9,54,0.5748404264450073,0.4251595735549927,0.05011504888534546,2.3318800497654912,0.4074074074074074
cora,10,26,0.528766393661499,0.4712335765361786,0.08779263496398926,1.116076279677217,0.7692307692307693
cora,11,58,0.5560928583145142,0.44390708208084106,0.06718984991312027,1.998079219585688,0.5517241379310345
cora,12,41,0.6672058701515198,0.3327941298484802,0.09930112212896347,1.9834965006858067,0.4634146341463415
cora,13,16,0.568645179271698,0.431354820728302,0.08174506574869156,2.1774212838207085,0.4375
cora,14,42,0.5955050587654114,0.4044950008392334,0.10013061761856079,0.6422064220497987,0.8809523809523809
cora,15,69,0.5334739685058594,0.46652597188949585,0.08783024549484253,0.7385465058694851,0.8260869565217391
cora,16,33,0.5777629017829895,0.4222370982170105,0.08614923059940338,1.2355029240886062,0.696969696969697
cora,17,30,0.5744668245315552,0.4255331754684448,0.07151664793491364,1.5009550787785688,0.6
cora,18,61,0.5821651220321655,0.4178347885608673,0.06093538925051689,1.2260088063009662,0.6065573770491803
cora,19,2,0.8169376850128174,0.18306228518486023,0.019322365522384644,-1.4428232973175175e-12,1.0
cora,20,40,0.6209219694137573,0.3790780007839203,0.07548143714666367,0.4689955935863958,0.9
cora,21,39,0.5322213768959045,0.46777862310409546,0.07358890026807785,2.4351135147821448,0.41025641025641024
cora,22,36,0.48557615280151367,0.5144238471984863,0.093296118080616,1.9626739805366324,0.4722222222222222
cora,23,43,0.5678642988204956,0.4321357011795044,0.10396722704172134,1.529259037371213,0.6976744186046512
cora,24,63,0.5364013910293579,0.4635985791683197,0.09521987289190292,2.391721981700021,0.3333333333333333
cora,25,16,0.6206112504005432,0.3793887495994568,0.0977509468793869,1.2475562489139378,0.5625
cora,26,28,0.6117057204246521,0.3882943093776703,0.06966029852628708,0.2222848306828026,0.9642857142857143
cora,27,1,1.0,0.0,0.0,-1.4428232973175175e-12,1.0
cora,28,30,0.5358414053916931,0.4641585648059845,0.12727360427379608,0.8331761732123585,0.8666666666666667
cora,29,56,0.5524126887321472,0.4475872814655304,0.06178135797381401,2.1434121823402927,0.39285714285714285
cora,30,29,0.6160304546356201,0.3839695453643799,0.0895218774676323,0.2163969324483793,0.9655172413793104
cora,31,22,0.7071427702903748,0.29285728931427,0.0684000700712204,0.43949698691862793,0.9090909090909091
cora,32,32,0.5027925372123718,0.4972074627876282,0.05936099588871002,2.5022484129293545,0.34375
cora,33,50,0.5051881670951843,0.4948118329048157,0.08305386453866959,1.9968711614958305,0.44
cora,34,62,0.6238831281661987,0.37611690163612366,0.14128881692886353,2.6574496152417444,0.25806451612903225
cora,35,4,0.7491397857666016,0.25086021423339844,0.05129760131239891,0.8112781244562475,0.75
cora,36,11,0.6622016429901123,0.33779844641685486,0.08811770379543304,0.8658566174528953,0.8181818181818182
cora,37,59,0.562728762626648,0.4372711777687073,0.08269853889942169,0.5815595727982329,0.9152542372881356
cora,38,27,0.5446532368659973,0.4553467333316803,0.094902403652668,2.130420693340084,0.48148148148148145
cora,39,46,0.5311169624328613,0.4688830077648163,0.09641330689191818,1.4202457007308198,0.5
cora,40,30,0.5288052558898926,0.4711947441101074,0.10716445744037628,1.2867841337709396,0.7
cora,41,1,1.0,0.0,0.0,-1.4428232973175175e-12,1.0
