dataset,doc_id,query_index,label,cluster_id,candidate_count,cluster_n,cluster_radius,cluster_radius_std,cluster_label_entropy,cluster_majority_share,query_centroid_distance,summary_ndcg,pq_ndcg,full_ndcg,summary_utility,pq_utility,full_utility,full_gain_over_summary,pq_gain_over_summary,full_minus_pq_ndcg,best_view,best_utility
cora,31336,0,Neural_Networks,76,15,16,0.361540287733078,0.09042823314666748,0.9886994082856122,0.5625,0.4037696123123169,0.5274541611612878,0.8627545507313895,0.9999999999999999,0.5274541611612878,0.8467545507313895,0.9535999999999999,0.47254583883871204,0.33530038957010166,0.13724544926861038,full,0.9535999999999999
cora,1061127,1,Rule_Learning,24,62,63,0.4635985791683197,0.09521987289190292,2.391721981700021,0.3333333333333333,0.38820040225982666,0.4034622814226772,0.20829366581033185,0.2082732806320161,0.4034622814226772,0.19229366581033186,0.16187328063201611,-0.1951890007906611,-0.19516861561234536,-2.0385178315734942e-05,summary,0.4034622814226772
cora,1106406,2,Reinforcement_Learning,50,69,70,0.47919103503227234,0.07861784100532532,1.4691569895114567,0.7142857142857143,0.3865232467651367,0.77990823370192,1.0,0.9337457765456111,0.77990823370192,0.984,0.8873457765456111,0.1538375428436911,0.22009176629808003,-0.06625422345438892,pq,0.984
cora,13195,3,Reinforcement_Learning,25,15,16,0.3793887495994568,0.0977509468793869,1.2475562489139378,0.5625,0.28747034072875977,0.823427752666646,0.6810339217615224,0.785563216515221,0.823427752666646,0.6650339217615224,0.739163216515221,-0.03786453615142504,-0.1423938309051236,0.10452929475369854,summary,0.823427752666646
cora,37879,4,Probabilistic_Methods,17,29,30,0.4255331754684448,0.07151664793491364,1.5009550787785688,0.6,0.3995714783668518,0.8357804136936722,0.7849818707050383,0.7631925784528223,0.8357804136936722,0.7689818707050383,0.7167925784528223,-0.07258783524084989,-0.050798542988633844,-0.02178929225221604,summary,0.8357804136936722
cora,1126012,5,Probabilistic_Methods,59,36,37,0.46185216307640076,0.08231177926063538,2.5496498426787335,0.2702702702702703,0.5062236189842224,0.0,0.2303612461053624,0.0,0.0,0.2143612461053624,-0.0464,0.0,0.2303612461053624,-0.2303612461053624,pq,0.2143612461053624
cora,1107140,6,Theory,45,46,47,0.47195640206336975,0.08405669778585434,2.2393470963456528,0.48936170212765956,0.49833399057388306,0.1208113026994942,0.0,0.34519134224686937,0.1208113026994942,-0.016,0.2987913422468694,0.22438003954737518,-0.1208113026994942,0.34519134224686937,full,0.2987913422468694
cora,1102850,7,Neural_Networks,59,36,37,0.46185216307640076,0.08231177926063538,2.5496498426787335,0.2702702702702703,0.26277458667755127,0.11751610475642714,0.44149241373678083,0.13012668333070054,0.11751610475642714,0.4254924137367808,0.08372668333070055,0.012610578574273404,0.3239763089803537,-0.3113657304060803,pq,0.4254924137367808
cora,31349,8,Neural_Networks,76,15,16,0.361540287733078,0.09042823314666748,0.9886994082856122,0.5625,0.18931835889816284,0.3428467921378015,0.6824871841548876,0.9279641043683682,0.3428467921378015,0.6664871841548876,0.8815641043683682,0.5851173122305666,0.3396403920170861,0.24547692021348055,full,0.8815641043683682
cora,1106418,9,Theory,21,38,39,0.46777862310409546,0.07358890026807785,2.4351135147821448,0.41025641025641024,0.38190382719039917,0.4263100803427563,0.6691255538181727,0.7951657524814092,0.4263100803427563,0.6531255538181727,0.7487657524814092,0.3688556721386529,0.24281547347541643,0.12604019866323646,full,0.7487657524814092
