dataset,doc_id,query_index,label,cluster_id,candidate_count,cluster_n,cluster_radius,cluster_radius_std,cluster_label_entropy,cluster_majority_share,query_centroid_distance,summary_ndcg,pq_ndcg,full_ndcg,summary_utility,pq_utility,full_utility,full_gain_over_summary,pq_gain_over_summary,full_minus_pq_ndcg,best_view,best_utility
jd_reviews,jd:TRAIN_4158,4158,jd:rating_5,42,504,505,0.10798688977956772,0.04937078431248665,2.182875426792412,0.3207920792079208,0.08737874031066895,0.5582604437617529,0.22476126319537013,0.38113435412202007,0.5582604437617529,0.20876126319537014,0.3347343541220201,-0.1771260896397328,-0.3334991805663827,0.15637309092664994,summary,0.5582604437617529
douban,douban:859888644,27692,douban:rating_3,172,896,897,0.22216486930847168,0.06434449553489685,2.115327295792365,0.33221850613154963,0.2978477478027344,0.06625422345438904,0.15457433957839828,0.5483327772244703,0.06625422345438904,0.13857433957839826,0.5019327772244703,0.48207855377008124,0.08832011612400924,0.393758437646072,full,0.5019327772244703
jd_reviews,jd:TRAIN_23699,23699,jd:rating_4,13,369,370,0.11111777275800705,0.08085224777460098,1.9830380705373354,0.4189189189189189,0.05890929698944092,0.20323893375270083,0.39375843764607205,0.0,0.20323893375270083,0.37775843764607203,-0.0464,-0.20323893375270083,0.19051950389337122,-0.39375843764607205,pq,0.37775843764607203
docred,docred:14763,14763,docred:P166+P17,175,475,476,0.15328899025917053,0.029764780774712563,5.341134823573239,0.15966386554621848,0.19591361284255981,0.0,0.0,0.0,0.0,-0.016,-0.0464,0.0,0.0,0.0,summary,0.0
jd_reviews,jd:TRAIN_17916,17916,jd:rating_5,7,960,961,0.15683667361736298,0.10584574937820435,1.6975805705107776,0.5816857440166493,0.19545161724090576,0.6870165078530993,0.6687607038361473,0.6399441431116328,0.6870165078530993,0.6527607038361473,0.5935441431116328,-0.04707236474146648,-0.018255804016952037,-0.02881656072451444,summary,0.6870165078530993
jd_reviews,jd:TRAIN_23606,23606,jd:rating_4,36,559,560,0.09146087616682053,0.0730138048529625,1.1875785460295316,0.6482142857142857,0.23944485187530518,0.2297956100746854,0.24703059344735187,0.18844415212771543,0.2297956100746854,0.23103059344735188,0.14204415212771543,-0.04135145794696998,0.017234983372666463,-0.058586441319636445,pq,0.23103059344735188
jd_reviews,jd:TRAIN_21050,21050,jd:rating_1,95,404,405,0.08549388498067856,0.07210004329681396,1.816658657451339,0.5481481481481482,0.25218844413757324,0.20641593223508908,0.0,0.0,0.20641593223508908,-0.016,-0.0464,-0.20641593223508908,-0.20641593223508908,0.0,summary,0.20641593223508908
docred,docred:7653,7653,docred:P108+P112,132,283,284,0.15146957337856293,0.025759272277355194,6.3582765786255715,0.09859154929577464,0.13857430219650269,0.0,0.0,0.0,0.0,-0.016,-0.0464,0.0,0.0,0.0,summary,0.0
douban,douban:1210679231,12,douban:rating_1,126,259,260,0.14113156497478485,0.08587856590747833,2.055020555145996,0.3269230769230769,0.06721466779708862,0.13886244387355456,0.0,0.0,0.13886244387355456,-0.016,-0.0464,-0.13886244387355456,-0.13886244387355456,0.0,summary,0.13886244387355456
docred,docred:51626,51626,docred:P131+P137,298,157,158,0.15498018264770508,0.032144904136657715,4.611859692062891,0.1962025316455696,0.15031474828720093,0.08671382849411972,0.11838279295536291,0.17342765698823945,0.08671382849411972,0.10238279295536291,0.12702765698823945,0.08671382849411972,0.03166896446124319,0.055044864032876534,full,0.12702765698823945
douban,douban:1486342731,39215,douban:rating_3,129,161,162,0.0988004207611084,0.07090926915407181,1.8788617735185884,0.4074074074074074,0.06810188293457031,0.42520843362602384,0.4568991878452581,0.21501812929496178,0.42520843362602384,0.4408991878452581,0.16861812929496178,-0.21019030433106206,0.031690754219234285,-0.24188105855029635,pq,0.4408991878452581
jd_reviews,jd:TRAIN_8694,8694,jd:rating_3,26,302,303,0.08071348071098328,0.057523541152477264,1.5528501545217666,0.5214521452145214,0.15753912925720215,0.06943122193677728,0.06362078819895173,0.07839826897867534,0.06943122193677728,0.04762078819895173,0.031998268978675345,0.00896704704189806,-0.005810433737825554,0.014777480779723615,summary,0.06943122193677728
jd_reviews,jd:TRAIN_2122,2122,jd:rating_5,64,258,259,0.1429934948682785,0.0664038136601448,1.7372498660057298,0.49034749034749037,0.2301652431488037,0.3250640124440019,0.5769706247040592,0.535254316775064,0.3250640124440019,0.5609706247040592,0.48885431677506397,0.21019030433106206,0.25190661226005734,-0.04171630792899528,pq,0.5609706247040592
douban,douban:805336907,23971,douban:rating_4,201,813,814,0.06806615740060806,0.04140736162662506,2.0155288185150724,0.371007371007371,0.05086052417755127,0.4256628105513782,0.2457313285402064,0.06943122193677728,0.4256628105513782,0.2297313285402064,0.023031221936777285,-0.3562315886146009,-0.17993148201117182,-0.17630010660342912,summary,0.4256628105513782
