probe_cell_id,budget,family,seed,phase_name,method,valid_output,runtime_s,proxy_score,norm_cd,iou,coverage,mean_linf_error,cov_linf_error,cov_fro_error,normalized_violation_severity,budget_violation
protocol_b:budget_06_thin_strip:multi-hole:seed3:n64,budget_06_thin_strip,multi-hole,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.07491309999022633,0.42995737457541666,0.23300678123646834,0.1416579223504722,0.609375,3.155028321932818e-17,1.1102230246251565e-15,1.121957134498238e-15,1.1102230246251565e-13,0
protocol_b:budget_10_extreme:crescent:seed3:n64,budget_10_extreme,crescent,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.06591659999685362,0.5933656725447435,0.2991039266330185,0.12109375,0.484375,1.0408340855860843e-16,8.881784197001252e-16,1.1749496091904413e-15,8.881784197001252e-14,0
protocol_b:budget_10_extreme:cross-branch:seed3:n64,budget_10_extreme,cross-branch,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.06588560000818688,0.5041101907134927,0.2843537179762201,0.0807799442896936,0.625,1.6436504934880247e-16,2.220446049250313e-16,2.9373740229761033e-16,2.220446049250313e-14,0
protocol_b:budget_10_extreme:multi-hole:seed3:n64,budget_10_extreme,multi-hole,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.068418599999859,0.46435137912384167,0.2311827964595655,0.1651376146788991,0.734375,4.5102810375396984e-17,0.0,0.0,4.5102810375396984e-15,0
protocol_b:budget_10_extreme:volatility-clustering:seed0:n64,budget_10_extreme,volatility-clustering,0,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.07719039999938104,0.4691739449431211,0.2508572762137354,0.15681233933161953,0.75,2.42861286636753e-17,1.5543122344752192e-15,2.0561618160832724e-15,1.5543122344752192e-13,0
protocol_b:budget_15_vertical_strip:spiral:seed3:n64,budget_15_vertical_strip,spiral,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.07551440001407173,0.4498335405539437,0.25290058828080336,0.119358074222668,0.765625,1.7997756063259374e-16,6.661338147750939e-16,6.866421945984569e-16,6.661338147750939e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed0:n64,budget_17_high_rot_aniso,volatility-clustering,0,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.06845160000375472,0.5515176316243086,0.28035812366726465,0.11022727272727273,0.78125,1.0495077029659683e-16,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-14,0
protocol_b:budget_18_neg_diag_extreme:cross-branch:seed3:n64,budget_18_neg_diag_extreme,cross-branch,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.05893919999653008,0.5031498653826195,0.26858668226676263,0.1079136690647482,0.65625,6.396792817664476e-17,8.881784197001252e-16,1.1905815549843721e-15,8.881784197001252e-14,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed3:n64,budget_22_broad_high_cond,barbell-bridge,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.07252590000280179,0.5878067397309378,0.25087078016519543,0.1822721598002497,0.65625,3.469446951953614e-17,1.7763568394002505e-15,1.837746106097754e-15,1.7763568394002505e-13,0
protocol_b:budget_23_small_high_cond:pinwheel:seed3:n64,budget_23_small_high_cond,pinwheel,3,optimization-limited zone,Log-proxy Transformer flow + exact projection,1,0.06794199999421835,0.49476291338149553,0.22031723227551991,0.14416775884665792,0.828125,1.7976072019809664e-16,6.661338147750939e-16,7.065416064076988e-16,6.661338147750939e-14,0
